"Date","Cardholder origin","Cardholder origin detail","Scaled Value","Scaled Number of Transactions"
"2019-01-01","Domestic","CHE",15.8914315089593,22.6969460288587
"2019-01-01","Foreign","AUT",0.0531071364685735,0.0591393792812322
"2019-01-01","Foreign","CHN",0.343588646822591,0.0972400943239111
"2019-01-01","Foreign","DEU",1.17190651938348,0.903269048148292
"2019-01-01","Foreign","FRA",0.645981860275987,0.826421843231702
"2019-01-01","Foreign","GBR",0.789339898078572,0.622390984711451
"2019-01-01","Foreign","ITA",0.555623221360196,0.572156500471416
"2019-01-01","Foreign","LIE",0.0178366631139606,0.0244034909907613
"2019-01-01","Foreign","NLD",0.244060158124951,0.261606782946922
"2019-01-01","Foreign","RUS",0.212269821693401,0.135272833068566
"2019-01-01","Foreign","RoW",1.77342488542416,1.3338988961329
"2019-01-01","Foreign","USA",0.517218231302524,0.40323539988077
"2019-01-02","Domestic","CHE",40.6307203963553,52.5472078395705
"2019-01-02","Foreign","AUT",0.0965100037097646,0.0998231936488385
"2019-01-02","Foreign","CHN",0.770209001627683,0.125756151345149
"2019-01-02","Foreign","DEU",1.7613924552999,1.24145113081971
"2019-01-02","Foreign","FRA",0.898529783400899,1.1497850929338
"2019-01-02","Foreign","GBR",1.02846838719444,0.763101921621969
"2019-01-02","Foreign","ITA",0.833169560748138,0.867275598344369
"2019-01-02","Foreign","LIE",0.120739047073072,0.115559706641488
"2019-01-02","Foreign","NLD",0.332321058761245,0.346951025116562
"2019-01-02","Foreign","RUS",0.426154728108145,0.243695028417491
"2019-01-02","Foreign","RoW",2.99991935737054,1.92879346829348
"2019-01-02","Foreign","USA",0.72882828953623,0.507680981795268
"2019-01-03","Domestic","CHE",59.2306705837794,78.691979680525
"2019-01-03","Foreign","AUT",0.125742414518646,0.110699401332743
"2019-01-03","Foreign","CHN",0.725879987484552,0.123750850553429
"2019-01-03","Foreign","DEU",1.69027232118807,1.29175359135777
"2019-01-03","Foreign","FRA",0.938134196000483,1.30351349091599
"2019-01-03","Foreign","GBR",0.975045584153838,0.76697657060936
"2019-01-03","Foreign","ITA",0.757824760053521,0.844401574059157
"2019-01-03","Foreign","LIE",0.115572181816474,0.117870900774318
"2019-01-03","Foreign","NLD",0.329412512159198,0.335429042601426
"2019-01-03","Foreign","RUS",0.53918671996304,0.266874946043813
"2019-01-03","Foreign","RoW",3.17403846411023,1.91152748859528
"2019-01-03","Foreign","USA",0.793412078702617,0.535007453601078
"2019-01-04","Domestic","CHE",63.6017000420232,83.229227632909
