"Date","Channel","Merchant category","Scaled Value","Scaled Number of Transactions"
"2019-01-01","All","Accommodation",5.68968876350554,1.6715031802711
"2019-01-01","All","Entertainment and sports",0.828483653412413,0.997552173508141
"2019-01-01","All","Food and beverage services",4.61296232387552,6.50081129711692
"2019-01-01","All","Human health services",0.124914622411124,0.0676024283852706
"2019-01-01","All","Motor vehicles",0.0113622030552901,0.0184895530626381
"2019-01-01","All","Other",0.0952157703728362,0.0797701857316391
"2019-01-01","All","Personal services",0.152084977727843,0.141084806549652
"2019-01-01","All","Professional services",0.703539656924489,0.590136231298871
"2019-01-01","All","Retail: Fuel stations",2.73486243997655,5.53945650230678
"2019-01-01","All","Transport services",2.87603471125375,5.17802652571102
"2019-01-01","E-comm","Retail: Food, beverage, tobacco",0.0526764955071466,0.0409217314106917
"2019-01-01","E-comm","Retail: Other goods",0.957647127754721,0.592651354325774
"2019-01-01","POS","Retail: Food, beverage, tobacco",1.35038542285769,5.01430561191924
"2019-01-01","POS","Retail: Other goods",2.02593038237283,1.50366970044885
"2019-01-02","All","Accommodation",5.96147170617533,1.36584775620437
"2019-01-02","All","Entertainment and sports",1.48316045188647,1.62378381905797
"2019-01-02","All","Food and beverage services",3.71415020707706,7.01783901989054
"2019-01-02","All","Human health services",0.410520368878098,0.168411278355463
"2019-01-02","All","Motor vehicles",0.110415282834433,0.0713411247766129
"2019-01-02","All","Other",0.280973684426011,0.114166192531988
"2019-01-02","All","Personal services",0.304867171744408,0.313608650935592
"2019-01-02","All","Professional services",1.52858636713029,1.08357617865803
"2019-01-02","All","Retail: Fuel stations",3.87174084857216,7.11722036760222
"2019-01-02","All","Transport services",2.70785649881987,5.1323124652896
"2019-01-02","E-comm","Retail: Food, beverage, tobacco",0.131130797359883,0.0898986541372754
"2019-01-02","E-comm","Retail: Other goods",1.75207494409772,0.852728670567147
"2019-01-02","POS","Retail: Food, beverage, tobacco",10.3328375193325,21.7800137448075
"2019-01-02","POS","Retail: Other goods",18.0371762208511,13.2063332157343
"2019-01-03","All","Accommodation",4.54632686450582,1.66086488963028
"2019-01-03","All","Entertainment and sports",1.35952806020657,1.28951037352296
"2019-01-03","All","Food and beverage services",4.11370383624072,8.61738928870281
"2019-01-03","All","Human health services",0.857363453903025,0.316089785813483
"2019-01-03","All","Motor vehicles",0.459013339523676,0.203385083689019
"2019-01-03","All","Other",0.490293723811631,0.152708753511826
"2019-01-03","All","Personal services",0.841641994524172,0.767078535056397
"2019-01-03","All","Professional services",2.51753087470601,1.6762275329838
"2019-01-03","All","Retail: Fuel stations",4.0200448175339,7.04700085174301
"2019-01-03","All","Transport services",3.43100269999105,6.51688769159969
"2019-01-03","E-comm","Retail: Food, beverage, tobacco",0.332316081497998,0.189483930743029
"2019-01-03","E-comm","Retail: Other goods",2.1184476967777,1.53398712936773
"2019-01-03","POS","Retail: Food, beverage, tobacco",17.2486432229057,35.056566476401
"2019-01-03","POS","Retail: Other goods",27.0593351378021,21.2726046682043
"2019-01-04","All","Accommodation",5.01185987455566,1.68934695850251
"2019-01-04","All","Entertainment and sports",1.3233578143544,1.38692040859193
"2019-01-04","All","Food and beverage services",4.88242763583007,9.60814383240852
"2019-01-04","All","Human health services",0.965337633866305,0.328597424649973
"2019-01-04","All","Motor vehicles",0.588552078368267,0.239650438685039
"2019-01-04","All","Other",0.415578674188414,0.151689109041459
"2019-01-04","All","Personal services",1.02146529948594,0.923729913853638
"2019-01-04","All","Professional services",2.37007444243187,1.46380160165753
"2019-01-04","All","Retail: Fuel stations",4.37651730411357,7.60495030592733
"2019-01-04","All","Transport services",2.61321348965846,6.37539502726189
"2019-01-04","E-comm","Retail: Food, beverage, tobacco",0.382924259794705,0.208075448252703
"2019-01-04","E-comm","Retail: Other goods",1.80734043102559,0.878661628263457
"2019-01-04","POS","Retail: Food, beverage, tobacco",20.308458660737,37.6294353684757
"2019-01-04","POS","Retail: Other goods",27.4825368372207,21.9028129271885
"2019-01-05","All","Accommodation",4.73314828774488,1.21279912120242
"2019-01-05","All","Entertainment and sports",1.20695516970378,1.39524750509992
"2019-01-05","All","Food and beverage services",4.71529814568514,8.35231571455665
"2019-01-05","All","Human health services",0.842559275553578,0.225579344993988
"2019-01-05","All","Motor vehicles",0.16316156184359,0.0711371958825397
"2019-01-05","All","Other",0.189333335609847,0.113520417700756
"2019-01-05","All","Personal services",0.9015113912149,0.806198894569442
"2019-01-05","All","Professional services",1.34126915991319,0.968492306102708
"2019-01-05","All","Retail: Fuel stations",3.97738826565821,7.01138127157823
"2019-01-05","All","Transport services",1.97227724286731,5.54523448763885
"2019-01-05","E-comm","Retail: Food, beverage, tobacco",0.234139113614892,0.135850631601773
"2019-01-05","E-comm","Retail: Other goods",1.24626141643114,0.637923568810027
"2019-01-05","POS","Retail: Food, beverage, tobacco",25.2535750289755,41.3828486283403
"2019-01-05","POS","Retail: Other goods",29.4923074947595,23.5218723935338
"2019-01-06","All","Accommodation",3.77743884264148,0.95200805383179
"2019-01-06","All","Entertainment and sports",1.07804343679957,1.19322194737139
"2019-01-06","All","Food and beverage services",2.89546873517602,5.61025381669919
"2019-01-06","All","Human health services",0.100188091600456,0.0692678476868685
"2019-01-06","All","Motor vehicles",0.015981906132598,0.0250492658219932
"2019-01-06","All","Other",0.133537129876695,0.0861599577459331
"2019-01-06","All","Personal services",0.162996904890221,0.150295594931959
"2019-01-06","All","Professional services",0.927082560857313,0.689279661967465
"2019-01-06","All","Retail: Fuel stations",3.70455498729864,7.25718356523447
"2019-01-06","All","Transport services",1.94561540251431,4.12996796277074
"2019-01-06","E-comm","Retail: Food, beverage, tobacco",0.131771254833893,0.0872815666633358
"2019-01-06","E-comm","Retail: Other goods",1.51116217072227,0.771632947024032
