"Date","Payment method","Merchant category","Scaled Value","Scaled Number of Transactions"
"2019-01-01","Credit","Accommodation",4.36603826962494,1.03130240547726
"2019-01-01","Credit","Food and beverage services",2.46368440122213,2.6940026551542
"2019-01-01","Credit","Other",0.755928798694596,0.673747077868889
"2019-01-01","Credit","Professional services",0.594272672972106,0.481578083353896
"2019-01-01","Credit","Retail: Food, beverage, tobacco",0.494336957205213,1.55716704699405
"2019-01-01","Credit","Retail: Fuel stations",0.734481058648777,1.35449571443429
"2019-01-01","Credit","Retail: Other goods",2.14542854015299,1.26714617147293
"2019-01-01","Credit","Transport services",1.72405241552401,3.64016474735589
"2019-01-01","Debit","Accommodation",1.32085130217718,0.637413746574844
"2019-01-01","Debit","Food and beverage services",2.13873874590753,3.78661968144947
"2019-01-01","Debit","Other",0.44967418055499,0.621881162476268
"2019-01-01","Debit","Professional services",0.103499154297968,0.103663854487217
"2019-01-01","Debit","Retail: Food, beverage, tobacco",0.904288191107736,3.48439706043297
"2019-01-01","Debit","Retail: Fuel stations",1.99916079660601,4.18112012703411
"2019-01-01","Debit","Retail: Other goods",0.68083988650477,0.797327987677257
"2019-01-01","Debit","Transport services",1.14093719642635,1.52487830543246
"2019-01-01","Mobile","Accommodation",0.0027991917034136,0.0027870282190006
"2019-01-01","Mobile","Food and beverage services",0.0105391767458564,0.0201889605132482
"2019-01-01","Mobile","Other",0.00645824772992055,0.00887090689218483
"2019-01-01","Mobile","Professional services",0.00576782965441459,0.00489429345775715
"2019-01-01","Mobile","Retail: Food, beverage, tobacco",0.00443677005189085,0.0136632359029054
"2019-01-01","Mobile","Retail: Fuel stations",0.00122058472175906,0.00384066083837887
"2019-01-01","Mobile","Retail: Other goods",0.157309083469789,0.0318468956244337
"2019-01-01","Mobile","Transport services",0.0110450993033919,0.0129834729226613
"2019-01-02","Credit","Accommodation",4.68866790370912,0.841342640648059
"2019-01-02","Credit","Food and beverage services",1.85933409770678,2.72442204852012
"2019-01-02","Credit","Other",1.34936874928819,1.01502208210041
"2019-01-02","Credit","Professional services",1.15079006691921,0.745699989327721
"2019-01-02","Credit","Retail: Food, beverage, tobacco",2.67443963505233,5.48222045937023
"2019-01-02","Credit","Retail: Fuel stations",1.04422352435766,1.7480784799956
"2019-01-02","Credit","Retail: Other goods",9.04601325971907,4.61990713078164
"2019-01-02","Credit","Transport services",1.93682130673743,3.79270356012266
"2019-01-02","Debit","Accommodation",1.26934444786892,0.522091956976442
"2019-01-02","Debit","Food and beverage services",1.84670493248785,4.27210640193977
"2019-01-02","Debit","Other",1.22950272828626,1.26140217428987
"2019-01-02","Debit","Professional services",0.370930731427396,0.329685045418364
"2019-01-02","Debit","Retail: Food, beverage, tobacco",7.76384112784049,16.3290623825285
"2019-01-02","Debit","Retail: Fuel stations",2.8255440410123,5.36417961785085
"2019-01-02","Debit","Retail: Other goods",10.5524494387102,9.38688098233908
"2019-01-02","Debit","Transport services",0.763450539946322,1.32631953890318
"2019-01-02","Mobile","Accommodation",0.0034593545972958,0.00241315857986637
"2019-01-02","Mobile","Food and beverage services",0.0081111768824316,0.0213105694306509
"2019-01-02","Mobile","Other",0.0110654821949725,0.0148868092673447
"2019-01-02","Mobile","Professional services",0.00686556878368887,0.00819114391194078
"2019-01-02","Mobile","Retail: Food, beverage, tobacco",0.0256875537995263,0.0586295570460492
"2019-01-02","Mobile","Retail: Fuel stations",0.00197328320220216,0.00496226975578155
"2019-01-02","Mobile","Retail: Other goods",0.190788466519565,0.0522737731807673
"2019-01-02","Mobile","Transport services",0.00758465213611509,0.0132893662637711
"2019-01-03","Credit","Accommodation",3.64872112901937,0.987797574741639
"2019-01-03","Credit","Food and beverage services",1.99865525781857,3.24406685876769
"2019-01-03","Credit","Other",1.68473533708135,1.0793276600315
"2019-01-03","Credit","Professional services",1.65992711414749,1.07881783779632
"2019-01-03","Credit","Retail: Food, beverage, tobacco",4.21447059049691,8.24678251187376
"2019-01-03","Credit","Retail: Fuel stations",1.09003794417224,1.74284430504772
"2019-01-03","Credit","Retail: Other goods",11.871704825091,6.89731704349327
"2019-01-03","Credit","Transport services",2.08015209294683,4.47233058777066
"2019-01-03","Debit","Accommodation",0.895122977895269,0.669396594795327
"2019-01-03","Debit","Food and beverage services",2.10359263756172,5.32856003768606
"2019-01-03","Debit","Other",2.31091103783391,1.63482996748694
"2019-01-03","Debit","Professional services",0.84548898041945,0.588470811997273
"2019-01-03","Debit","Retail: Food, beverage, tobacco",13.3280196224942,26.9075678692354
"2019-01-03","Debit","Retail: Fuel stations",2.92807040076097,5.29946618213161
"2019-01-03","Debit","Retail: Other goods",17.1551441345144,15.8454450102338
"2019-01-03","Debit","Transport services",1.33736979331517,2.02256677141814
"2019-01-03","Mobile","Accommodation",0.00248275759118112,0.00367072009331786
"2019-01-03","Mobile","Food and beverage services",0.0114559408604322,0.0447623922490706
"2019-01-03","Mobile","Other",0.0121941970538149,0.014614904075247
"2019-01-03","Mobile","Professional services",0.0121147801390687,0.00893888319020924
"2019-01-03","Mobile","Retail: Food, beverage, tobacco",0.0384690914125773,0.0917000260349221
"2019-01-03","Mobile","Retail: Fuel stations",0.00193647260069253,0.00469036456368394
"2019-01-03","Mobile","Retail: Other goods",0.150933874974445,0.0638297438449162
"2019-01-03","Mobile","Transport services",0.013480813729048,0.021990332410895
"2019-01-04","Credit","Accommodation",3.91879342429669,0.983854949456224
"2019-01-04","Credit","Food and beverage services",2.29139653183905,3.45707058862716
"2019-01-04","Credit","Other",1.75512126808199,1.09951662054475
