"CubeId";"plkoprex"
"PublishingDate";"2023-07-21 09:00"

"Date";"D0";"Value"
"1982-12";"T0";
"1982-12";"IG";
"1982-12";"T1";
"1982-12";"IW";
"1982-12";"T2";
"1982-12";"IE";
"1982-12";"T3";
"1982-12";"IT";
"1982-12";"T4";
"1982-12";"IAG";
"1982-12";"T5";
"1982-12";"IBS";
"1982-12";"T6";
"1982-12";"IAP";
"1982-12";"K1";
"1982-12";"FP";
"1982-12";"ET";
"1982-12";"K2";
"1982-12";"T7";
"1983-01";"T0";
"1983-01";"IG";
"1983-01";"T1";
"1983-01";"IW";
"1983-01";"T2";
"1983-01";"IE";
"1983-01";"T3";
"1983-01";"IT";
"1983-01";"T4";
"1983-01";"IAG";
"1983-01";"T5";
"1983-01";"IBS";
"1983-01";"T6";
"1983-01";"IAP";
"1983-01";"K1";
"1983-01";"FP";
"1983-01";"ET";
"1983-01";"K2";
"1983-01";"T7";
"1983-02";"T0";
"1983-02";"IG";
"1983-02";"T1";
"1983-02";"IW";
"1983-02";"T2";
"1983-02";"IE";
"1983-02";"T3";
"1983-02";"IT";
"1983-02";"T4";
"1983-02";"IAG";
"1983-02";"T5";
"1983-02";"IBS";
"1983-02";"T6";
"1983-02";"IAP";
"1983-02";"K1";
"1983-02";"FP";
"1983-02";"ET";
"1983-02";"K2";
"1983-02";"T7";
"1983-03";"T0";
"1983-03";"IG";
"1983-03";"T1";
"1983-03";"IW";
"1983-03";"T2";
"1983-03";"IE";
"1983-03";"T3";
"1983-03";"IT";
"1983-03";"T4";
"1983-03";"IAG";
"1983-03";"T5";
"1983-03";"IBS";
"1983-03";"T6";
"1983-03";"IAP";
"1983-03";"K1";
"1983-03";"FP";
"1983-03";"ET";
"1983-03";"K2";
"1983-03";"T7";
"1983-04";"T0";
"1983-04";"IG";
"1983-04";"T1";
"1983-04";"IW";
"1983-04";"T2";
"1983-04";"IE";
"1983-04";"T3";
"1983-04";"IT";
"1983-04";"T4";
"1983-04";"IAG";
"1983-04";"T5";
"1983-04";"IBS";
"1983-04";"T6";
"1983-04";"IAP";
"1983-04";"K1";
"1983-04";"FP";
"1983-04";"ET";
"1983-04";"K2";
"1983-04";"T7";
"1983-05";"T0";
"1983-05";"IG";
"1983-05";"T1";
"1983-05";"IW";
"1983-05";"T2";
"1983-05";"IE";
"1983-05";"T3";
"1983-05";"IT";
"1983-05";"T4";
"1983-05";"IAG";
"1983-05";"T5";
"1983-05";"IBS";
"1983-05";"T6";
"1983-05";"IAP";
"1983-05";"K1";
"1983-05";"FP";
"1983-05";"ET";
"1983-05";"K2";
"1983-05";"T7";
"1983-06";"T0";
"1983-06";"IG";
"1983-06";"T1";
"1983-06";"IW";
"1983-06";"T2";
"1983-06";"IE";
"1983-06";"T3";
"1983-06";"IT";
"1983-06";"T4";
"1983-06";"IAG";
"1983-06";"T5";
"1983-06";"IBS";
"1983-06";"T6";
"1983-06";"IAP";
"1983-06";"K1";
"1983-06";"FP";
"1983-06";"ET";
"1983-06";"K2";
"1983-06";"T7";
"1983-07";"T0";
"1983-07";"IG";
"1983-07";"T1";
"1983-07";"IW";
"1983-07";"T2";
"1983-07";"IE";
"1983-07";"T3";
"1983-07";"IT";
"1983-07";"T4";
"1983-07";"IAG";
"1983-07";"T5";
"1983-07";"IBS";
"1983-07";"T6";
"1983-07";"IAP";
"1983-07";"K1";
"1983-07";"FP";
"1983-07";"ET";
"1983-07";"K2";
"1983-07";"T7";
"1983-08";"T0";
"1983-08";"IG";
"1983-08";"T1";
"1983-08";"IW";
"1983-08";"T2";
"1983-08";"IE";
"1983-08";"T3";
"1983-08";"IT";
"1983-08";"T4";
"1983-08";"IAG";
"1983-08";"T5";
"1983-08";"IBS";
"1983-08";"T6";
"1983-08";"IAP";
"1983-08";"K1";
"1983-08";"FP";
"1983-08";"ET";
"1983-08";"K2";
"1983-08";"T7";
"1983-09";"T0";
"1983-09";"IG";
"1983-09";"T1";
"1983-09";"IW";
"1983-09";"T2";
"1983-09";"IE";
"1983-09";"T3";
"1983-09";"IT";
"1983-09";"T4";
"1983-09";"IAG";
"1983-09";"T5";
"1983-09";"IBS";
"1983-09";"T6";
"1983-09";"IAP";
"1983-09";"K1";
"1983-09";"FP";
"1983-09";"ET";
"1983-09";"K2";
"1983-09";"T7";
"1983-10";"T0";
"1983-10";"IG";
"1983-10";"T1";
"1983-10";"IW";
"1983-10";"T2";
"1983-10";"IE";
"1983-10";"T3";
"1983-10";"IT";
"1983-10";"T4";
"1983-10";"IAG";
"1983-10";"T5";
"1983-10";"IBS";
"1983-10";"T6";
"1983-10";"IAP";
"1983-10";"K1";
"1983-10";"FP";
"1983-10";"ET";
"1983-10";"K2";
"1983-10";"T7";
"1983-11";"T0";
"1983-11";"IG";
"1983-11";"T1";
"1983-11";"IW";
"1983-11";"T2";
"1983-11";"IE";
"1983-11";"T3";
"1983-11";"IT";
"1983-11";"T4";
"1983-11";"IAG";
"1983-11";"T5";
"1983-11";"IBS";
"1983-11";"T6";
"1983-11";"IAP";
"1983-11";"K1";
"1983-11";"FP";
"1983-11";"ET";
"1983-11";"K2";
"1983-11";"T7";
"1983-12";"T0";"0"
"1983-12";"IG";"0"
"1983-12";"T1";"69.9494"
"1983-12";"IW";"46.2289"
"1983-12";"T2";"63.9699"
"1983-12";"IE";"83.4211"
"1983-12";"T3";"65.034"
"1983-12";"IT";"26.9585"
"1983-12";"T4";"64.6735"
"1983-12";"IAG";"61.6192"
"1983-12";"T5";
"1983-12";"IBS";
"1983-12";"T6";
"1983-12";"IAP";
"1983-12";"K1";
"1983-12";"FP";
"1983-12";"ET";
"1983-12";"K2";
"1983-12";"T7";"64.6127"
"1984-01";"T0";"0"
"1984-01";"IG";"0"
"1984-01";"T1";"70.2561"
"1984-01";"IW";"46.2289"
"1984-01";"T2";"64.201"
"1984-01";"IE";"83.6934"
"1984-01";"T3";"65.2689"
"1984-01";"IT";"26.9585"
"1984-01";"T4";"64.9127"
"1984-01";"IAG";"61.6192"
"1984-01";"T5";
"1984-01";"IBS";
"1984-01";"T6";
"1984-01";"IAP";
"1984-01";"K1";
"1984-01";"FP";
"1984-01";"ET";
"1984-01";"K2";
"1984-01";"T7";"64.8448"
"1984-02";"T0";"0"
"1984-02";"IG";"0"
"1984-02";"T1";"70.5654"
"1984-02";"IW";"46.2289"
"1984-02";"T2";"64.4727"
"1984-02";"IE";"83.1529"
"1984-02";"T3";"65.5054"
"1984-02";"IT";"26.9678"
"1984-02";"T4";"65.1626"
"1984-02";"IAG";"61.3258"
"1984-02";"T5";
"1984-02";"IBS";
"1984-02";"T6";
"1984-02";"IAP";
"1984-02";"K1";
"1984-02";"FP";
"1984-02";"ET";
"1984-02";"K2";
"1984-02";"T7";"65.0788"
"1984-03";"T0";"0"
"1984-03";"IG";"0"
"1984-03";"T1";"71.1245"
"1984-03";"IW";"46.2289"
"1984-03";"T2";"64.945"
"1984-03";"IE";"82.5742"
"1984-03";"T3";"65.9335"
"1984-03";"IT";"26.9678"
"1984-03";"T4";"65.5983"
"1984-03";"IAG";"61.3258"
"1984-03";"T5";
"1984-03";"IBS";
"1984-03";"T6";
"1984-03";"IAP";
"1984-03";"K1";
"1984-03";"FP";
"1984-03";"ET";
"1984-03";"K2";
"1984-03";"T7";"65.5019"
"1984-04";"T0";"0"
"1984-04";"IG";"0"
"1984-04";"T1";"71.252"
"1984-04";"IW";"46.2289"
"1984-04";"T2";"65.0527"
"1984-04";"IE";"82.4405"
"1984-04";"T3";"66.0311"
"1984-04";"IT";"26.9678"
"1984-04";"T4";"65.6978"
"1984-04";"IAG";"61.3258"
"1984-04";"T5";
"1984-04";"IBS";
"1984-04";"T6";
"1984-04";"IAP";
"1984-04";"K1";
"1984-04";"FP";
"1984-04";"ET";
"1984-04";"K2";
"1984-04";"T7";"65.5984"
"1984-05";"T0";"0"
"1984-05";"IG";"0"
"1984-05";"T1";"70.8672"
"1984-05";"IW";"46.842"
"1984-05";"T2";"64.9377"
"1984-05";"IE";"81.8422"
"1984-05";"T3";"65.867"
"1984-05";"IT";"29.1558"
"1984-05";"T4";"65.5619"
"1984-05";"IAG";"61.1773"
"1984-05";"T5";
"1984-05";"IBS";
"1984-05";"T6";
"1984-05";"IAP";
"1984-05";"K1";
"1984-05";"FP";
"1984-05";"ET";
"1984-05";"K2";
"1984-05";"T7";"65.4621"
"1984-06";"T0";"0"
"1984-06";"IG";"0"
"1984-06";"T1";"71.1456"
"1984-06";"IW";"46.842"
"1984-06";"T2";"65.1031"
"1984-06";"IE";"83.0249"
"1984-06";"T3";"66.0801"
"1984-06";"IT";"29.1558"
"1984-06";"T4";"65.7788"
