"CubeId";"plkoprgru"
"PublishingDate";"2023-07-21 09:00"

"Date";"D0";"Value"
"1982-12";"NG";
"1982-12";"AGT";
"1982-12";"BS";
"1982-12";"WE";
"1982-12";"HH";
"1982-12";"G";
"1982-12";"V";
"1982-12";"N";
"1982-12";"FK";
"1982-12";"EU";
"1982-12";"RH";
"1982-12";"SWD";
"1982-12";"T";
"1983-01";"NG";
"1983-01";"AGT";
"1983-01";"BS";
"1983-01";"WE";
"1983-01";"HH";
"1983-01";"G";
"1983-01";"V";
"1983-01";"N";
"1983-01";"FK";
"1983-01";"EU";
"1983-01";"RH";
"1983-01";"SWD";
"1983-01";"T";
"1983-02";"NG";
"1983-02";"AGT";
"1983-02";"BS";
"1983-02";"WE";
"1983-02";"HH";
"1983-02";"G";
"1983-02";"V";
"1983-02";"N";
"1983-02";"FK";
"1983-02";"EU";
"1983-02";"RH";
"1983-02";"SWD";
"1983-02";"T";
"1983-03";"NG";
"1983-03";"AGT";
"1983-03";"BS";
"1983-03";"WE";
"1983-03";"HH";
"1983-03";"G";
"1983-03";"V";
"1983-03";"N";
"1983-03";"FK";
"1983-03";"EU";
"1983-03";"RH";
"1983-03";"SWD";
"1983-03";"T";
"1983-04";"NG";
"1983-04";"AGT";
"1983-04";"BS";
"1983-04";"WE";
"1983-04";"HH";
"1983-04";"G";
"1983-04";"V";
"1983-04";"N";
"1983-04";"FK";
"1983-04";"EU";
"1983-04";"RH";
"1983-04";"SWD";
"1983-04";"T";
"1983-05";"NG";
"1983-05";"AGT";
"1983-05";"BS";
"1983-05";"WE";
"1983-05";"HH";
"1983-05";"G";
"1983-05";"V";
"1983-05";"N";
"1983-05";"FK";
"1983-05";"EU";
"1983-05";"RH";
"1983-05";"SWD";
"1983-05";"T";
"1983-06";"NG";
"1983-06";"AGT";
"1983-06";"BS";
"1983-06";"WE";
"1983-06";"HH";
"1983-06";"G";
"1983-06";"V";
"1983-06";"N";
"1983-06";"FK";
"1983-06";"EU";
"1983-06";"RH";
"1983-06";"SWD";
"1983-06";"T";
"1983-07";"NG";
"1983-07";"AGT";
"1983-07";"BS";
"1983-07";"WE";
"1983-07";"HH";
"1983-07";"G";
"1983-07";"V";
"1983-07";"N";
"1983-07";"FK";
"1983-07";"EU";
"1983-07";"RH";
"1983-07";"SWD";
"1983-07";"T";
"1983-08";"NG";
"1983-08";"AGT";
"1983-08";"BS";
"1983-08";"WE";
"1983-08";"HH";
"1983-08";"G";
"1983-08";"V";
"1983-08";"N";
"1983-08";"FK";
"1983-08";"EU";
"1983-08";"RH";
"1983-08";"SWD";
"1983-08";"T";
"1983-09";"NG";
"1983-09";"AGT";
"1983-09";"BS";
"1983-09";"WE";
"1983-09";"HH";
"1983-09";"G";
"1983-09";"V";
"1983-09";"N";
"1983-09";"FK";
"1983-09";"EU";
"1983-09";"RH";
"1983-09";"SWD";
"1983-09";"T";
"1983-10";"NG";
"1983-10";"AGT";
"1983-10";"BS";
"1983-10";"WE";
"1983-10";"HH";
"1983-10";"G";
"1983-10";"V";
"1983-10";"N";
"1983-10";"FK";
"1983-10";"EU";
"1983-10";"RH";
"1983-10";"SWD";
"1983-10";"T";
"1983-11";"NG";
"1983-11";"AGT";
"1983-11";"BS";
"1983-11";"WE";
"1983-11";"HH";
"1983-11";"G";
"1983-11";"V";
"1983-11";"N";
"1983-11";"FK";
"1983-11";"EU";
"1983-11";"RH";
"1983-11";"SWD";
"1983-11";"T";
"1983-12";"NG";"75.0768"
"1983-12";"AGT";"54.4664"
"1983-12";"BS";"74.3564"
"1983-12";"WE";"49.6859"
"1983-12";"HH";"84.3424"
"1983-12";"G";"66.6634"
"1983-12";"V";"67.69"
"1983-12";"N";"177.193"
"1983-12";"FK";"85.4294"
"1983-12";"EU";"39.5176"
"1983-12";"RH";"45.4589"
"1983-12";"SWD";"65.3708"
"1983-12";"T";"64.6127"
"1984-01";"NG";"75.8433"
"1984-01";"AGT";"54.4664"
"1984-01";"BS";"74.3564"
"1984-01";"WE";"49.8942"
"1984-01";"HH";"84.3424"
"1984-01";"G";"67.4549"
"1984-01";"V";"67.6902"
"1984-01";"N";"177.193"
"1984-01";"FK";"85.4674"
"1984-01";"EU";"39.5176"
"1984-01";"RH";"45.4589"
"1984-01";"SWD";"65.3708"
"1984-01";"T";"64.8448"
"1984-02";"NG";"76.3985"
"1984-02";"AGT";"54.1958"
"1984-02";"BS";"74.3564"
"1984-02";"WE";"49.9042"
