"Indizes / Veränderungen","Nominal / Real","Branche / Warengruppe","Monat","Unbereinigt","Kalenderbereinigt","Saisonbereinigt","Trend"
"Indizes","Nominal","47: Total Detailhandel","2000M01",80.4,80.9,84.0,84.6
"Indizes","Nominal","47: Total Detailhandel","2000M02",80.5,78.0,85.2,84.8
"Indizes","Nominal","47: Total Detailhandel","2000M03",83.1,82.2,84.4,85.1
"Indizes","Nominal","47: Total Detailhandel","2000M04",84.0,84.4,86.4,85.4
"Indizes","Nominal","47: Total Detailhandel","2000M05",91.5,88.6,86.0,85.6
"Indizes","Nominal","47: Total Detailhandel","2000M06",78.5,79.8,85.2,85.8
"Indizes","Nominal","47: Total Detailhandel","2000M07",82.3,83.2,86.1,86.0
"Indizes","Nominal","47: Total Detailhandel","2000M08",80.2,79.4,86.0,86.3
"Indizes","Nominal","47: Total Detailhandel","2000M09",85.7,84.6,86.6,86.7
"Indizes","Nominal","47: Total Detailhandel","2000M10",87.3,88.6,87.1,87.0
"Indizes","Nominal","47: Total Detailhandel","2000M11",95.1,94.2,87.7,87.3
"Indizes","Nominal","47: Total Detailhandel","2000M12",108.6,108.8,87.7,87.3
"Indizes","Nominal","47: Total Detailhandel","2001M01",84.3,83.8,86.9,87.3
"Indizes","Nominal","47: Total Detailhandel","2001M02",79.3,79.8,87.2,87.3
"Indizes","Nominal","47: Total Detailhandel","2001M03",86.1,84.9,87.2,87.4
"Indizes","Nominal","47: Total Detailhandel","2001M04",83.2,84.3,86.2,87.5
"Indizes","Nominal","47: Total Detailhandel","2001M05",92.0,90.4,87.7,87.8
"Indizes","Nominal","47: Total Detailhandel","2001M06",84.3,83.8,89.4,88.0
"Indizes","Nominal","47: Total Detailhandel","2001M07",83.7,85.0,88.0,88.3
"Indizes","Nominal","47: Total Detailhandel","2001M08",82.3,81.4,88.1,88.6
"Indizes","Nominal","47: Total Detailhandel","2001M09",86.6,87.2,89.3,88.8
"Indizes","Nominal","47: Total Detailhandel","2001M10",88.3,88.0,86.5,89.0
"Indizes","Nominal","47: Total Detailhandel","2001M11",96.8,95.7,89.3,89.1
"Indizes","Nominal","47: Total Detailhandel","2001M12",109.0,110.6,89.3,89.1
"Indizes","Nominal","47: Total Detailhandel","2002M01",86.2,85.5,88.4,89.0
"Indizes","Nominal","47: Total Detailhandel","2002M02",80.5,81.1,88.8,88.7
"Indizes","Nominal","47: Total Detailhandel","2002M03",87.0,86.8,89.1,88.3
"Indizes","Nominal","47: Total Detailhandel","2002M04",84.9,85.3,87.2,87.9
"Indizes","Nominal","47: Total Detailhandel","2002M05",90.8,90.2,87.6,87.6
"Indizes","Nominal","47: Total Detailhandel","2002M06",81.2,81.3,86.4,87.3
"Indizes","Nominal","47: Total Detailhandel","2002M07",84.7,84.4,87.2,87.2
"Indizes","Nominal","47: Total Detailhandel","2002M08",82.1,81.1,87.5,87.2
"Indizes","Nominal","47: Total Detailhandel","2002M09",83.5,84.9,87.1,87.3
"Indizes","Nominal","47: Total Detailhandel","2002M10",89.8,88.8,87.3,87.4
"Indizes","Nominal","47: Total Detailhandel","2002M11",94.7,93.5,87.3,87.5
"Indizes","Nominal","47: Total Detailhandel","2002M12",105.7,108.2,87.8,87.7
"Indizes","Nominal","47: Total Detailhandel","2003M01",86.2,85.5,88.1,87.8
"Indizes","Nominal","47: Total Detailhandel","2003M02",79.2,79.8,87.6,87.8
"Indizes","Nominal","47: Total Detailhandel","2003M03",84.3,85.4,87.6,87.7
"Indizes","Nominal","47: Total Detailhandel","2003M04",86.8,86.0,87.8,87.5
"Indizes","Nominal","47: Total Detailhandel","2003M05",92.1,90.1,87.6,87.4
"Indizes","Nominal","47: Total Detailhandel","2003M06",80.0,81.9,86.7,87.5
"Indizes","Nominal","47: Total Detailhandel","2003M07",86.1,85.1,87.7,87.6
"Indizes","Nominal","47: Total Detailhandel","2003M08",78.6,79.2,85.1,87.9
"Indizes","Nominal","47: Total Detailhandel","2003M09",86.1,86.1,88.7,88.3
"Indizes","Nominal","47: Total Detailhandel","2003M10",91.4,90.2,88.7,88.6
"Indizes","Nominal","47: Total Detailhandel","2003M11",91.0,91.7,86.0,88.7
"Indizes","Nominal","47: Total Detailhandel","2003M12",108.7,109.3,89.2,88.8
"Indizes","Nominal","47: Total Detailhandel","2004M01",89.2,88.3,90.5,88.8
"Indizes","Nominal","47: Total Detailhandel","2004M02",81.8,80.6,88.7,88.8
"Indizes","Nominal","47: Total Detailhandel","2004M03",86.2,86.1,88.3,88.8
"Indizes","Nominal","47: Total Detailhandel","2004M04",88.5,87.3,88.9,88.8
