datum,edate,year,month,day,DHU,DCTV,ZT_K_IZ_II_BMF,ZT_IZ_II_BMF,DHU_meanyear,DCTV_meanyear,DHU_detrend,DCTV_detrend,log_DHU_detrend,log_DCTV_detrend
"2005-01",16437,2005,1,1,88.494265,1611.2,870.1,2481.3,91.27773,1779.967,96.95055,90.51855,4.574201,4.505555
"2005-02",16468,2005,2,1,82.469196,1491,848.6,2339.6,91.27773,1779.967,90.34974,83.76561,4.503688,4.428022
"2005-03",16496,2005,3,1,89.546346,1763.5,1004.3,2767.8,91.27773,1779.967,98.10316,99.07489,4.58602,4.595876
"2005-04",16527,2005,4,1,89.907037,1758.2,942.1,2700.3,91.27773,1779.967,98.49832,98.77713,4.59004,4.592866
"2005-05",16557,2005,5,1,92.14093,1784.4,944.4,2728.8,91.27773,1779.967,100.9457,100.2491,4.614583,4.607658
"2005-06",16588,2005,6,1,87.704118,1754.7,931.3,2686,91.27773,1779.967,96.0849,98.5805,4.565232,4.590873
"2005-07",16618,2005,7,1,89.609595,1689.6,894,2583.6,91.27773,1779.967,98.17245,94.92313,4.586726,4.553067
"2005-08",16649,2005,8,1,86.249163,1722.7,962.1,2684.8,91.27773,1779.967,94.49091,96.78271,4.548504,4.572468
"2005-09",16680,2005,9,1,88.18243,1685.1,956.7,2641.8,91.27773,1779.967,96.60892,94.67031,4.570671,4.5504
"2005-10",16710,2005,10,1,93.750153,1819.1,1003.8,2822.9,91.27773,1779.967,102.7087,102.1985,4.631896,4.626917
"2005-11",16741,2005,11,1,97.174733,1881.5,1048,2929.5,91.27773,1779.967,106.4605,105.7042,4.667774,4.660645
"2005-12",16771,2005,12,1,110.10487,2398.6,1157.9,3556.5,91.27773,1779.967,120.6262,134.7553,4.792696,4.903461
"2006-01",16802,2006,1,1,90.572411,1784.5,981.4,2765.9,93.33546,1922.383,97.03965,92.82748,4.575119,4.530743
"2006-02",16833,2006,2,1,83.04267,1596,906.7,2502.7,93.33546,1922.383,88.97226,83.02194,4.488325,4.419105
"2006-03",16861,2006,3,1,89.577862,1835,1055.8,2890.8,93.33546,1922.383,95.97409,95.45443,4.564078,4.558649
"2006-04",16892,2006,4,1,91.359485,1864.4,939.4,2803.8,93.33546,1922.383,97.88293,96.98378,4.583772,4.574544
"2006-05",16922,2006,5,1,94.976313,1990.1,1071.4,3061.5,93.33546,1922.383,101.758,103.5225,4.622598,4.639789
"2006-06",16953,2006,6,1,89.64381,1902.7,945,2847.7,93.33546,1922.383,96.04475,98.9761,4.564814,4.594878
"2006-07",16983,2006,7,1,92.356618,1957.8,938.4,2896.2,93.33546,1922.383,98.95126,101.8423,4.594627,4.623426
"2006-08",17014,2006,8,1,90.100576,1898.5,1011.5,2910,93.33546,1922.383,96.53413,98.75762,4.569897,4.592669
"2006-09",17045,2006,9,1,89.679357,1842.4,982.6,2825,93.33546,1922.383,96.08283,95.83937,4.565211,4.562674
