datum,indicator,value,edate,year,month,day
"2002-01","DHU",86.748385,15341,2002,1,1
"2002-02","DHU",81.928271,15372,2002,2,1
"2002-03","DHU",87.543241,15400,2002,3,1
"2002-04","DHU",86.464093,15431,2002,4,1
"2002-05","DHU",91.285982,15461,2002,5,1
"2002-06","DHU",82.190307,15492,2002,6,1
"2002-07","DHU",85.617718,15522,2002,7,1
"2002-08","DHU",82.12729,15553,2002,8,1
"2002-09","DHU",86.664301,15584,2002,9,1
"2002-10","DHU",90.258087,15614,2002,10,1
"2002-11","DHU",94.774208,15645,2002,11,1
"2002-12","DHU",109.6501,15675,2002,12,1
"2003-01","DHU",86.696136,15706,2003,1,1
"2003-02","DHU",80.601497,15737,2003,2,1
"2003-03","DHU",86.318864,15765,2003,3,1
"2003-04","DHU",86.97459,15796,2003,4,1
"2003-05","DHU",91.002543,15826,2003,5,1
"2003-06","DHU",82.954887,15857,2003,6,1
"2003-07","DHU",86.407235,15887,2003,7,1
"2003-08","DHU",80.262356,15918,2003,8,1
"2003-09","DHU",87.881523,15949,2003,9,1
"2003-10","DHU",91.507613,15979,2003,10,1
"2003-11","DHU",93.058931,16010,2003,11,1
"2003-12","DHU",110.67997,16040,2003,12,1
"2004-01","DHU",89.339623,16071,2004,1,1
"2004-02","DHU",81.437778,16102,2004,2,1
"2004-03","DHU",87.132816,16131,2004,3,1
"2004-04","DHU",88.325834,16162,2004,4,1
"2004-05","DHU",92.574147,16192,2004,5,1
"2004-06","DHU",85.600874,16223,2004,6,1
"2004-07","DHU",86.792275,16253,2004,7,1
"2004-08","DHU",83.235273,16284,2004,8,1
"2004-09","DHU",86.930767,16315,2004,9,1
"2004-10","DHU",90.473633,16345,2004,10,1
"2004-11","DHU",95.886586,16376,2004,11,1
"2004-12","DHU",108.63775,16406,2004,12,1
"2005-01","DHU",88.481212,16437,2005,1,1
"2005-02","DHU",82.467921,16468,2005,2,1
"2005-03","DHU",89.562552,16496,2005,3,1
"2005-04","DHU",89.909647,16527,2005,4,1
"2005-05","DHU",92.153552,16557,2005,5,1
"2005-06","DHU",87.694912,16588,2005,6,1
"2005-07","DHU",89.600778,16618,2005,7,1
"2005-08","DHU",86.269453,16649,2005,8,1
"2005-09","DHU",88.178937,16680,2005,9,1
"2005-10","DHU",93.73169,16710,2005,10,1
"2005-11","DHU",97.197594,16741,2005,11,1
"2005-12","DHU",110.12522,16771,2005,12,1
"2006-01","DHU",90.596614,16802,2006,1,1
"2006-02","DHU",83.041385,16833,2006,2,1
"2006-03","DHU",89.567209,16861,2006,3,1
"2006-04","DHU",91.351483,16892,2006,4,1
"2006-05","DHU",94.992584,16922,2006,5,1
"2006-06","DHU",89.640364,16953,2006,6,1
"2006-07","DHU",92.338383,16983,2006,7,1
"2006-08","DHU",90.090816,17014,2006,8,1
"2006-09","DHU",89.680091,17045,2006,9,1
"2006-10","DHU",94.434531,17075,2006,10,1
"2006-11","DHU",99.469559,17106,2006,11,1
"2006-12","DHU",114.77595,17136,2006,12,1
"2007-01","DHU",93.432301,17167,2007,1,1
"2007-02","DHU",85.207728,17198,2007,2,1
"2007-03","DHU",93.870867,17226,2007,3,1
"2007-04","DHU",94.965144,17257,2007,4,1
"2007-05","DHU",97.718802,17287,2007,5,1
"2007-06","DHU",91.646057,17318,2007,6,1
"2007-07","DHU",95.981655,17348,2007,7,1
"2007-08","DHU",93.209536,17379,2007,8,1
"2007-09","DHU",93.812051,17410,2007,9,1
"2007-10","DHU",99.019166,17440,2007,10,1
"2007-11","DHU",103.38834,17471,2007,11,1
"2007-12","DHU",119.25579,17501,2007,12,1
"2008-01","DHU",96.628537,17532,2008,1,1
