datum,transaction,instrument,holder,location,measure,value,edate,year,month,day
"2015-01","ZT","K","IZ","II","TT",12841.9,20089,2015,1,1
"2015-01","ZT","K","IZ","II","BMF",1458.6,20089,2015,1,1
"2015-01","ZT","K","IZ","II","BTF",113.58132,20089,2015,1,1
"2015-01","ZT","K","IZ","IA","TT",9122,20089,2015,1,1
"2015-01","ZT","K","IZ","IA","BMF",1290.8,20089,2015,1,1
"2015-01","ZT","K","IZ","IA","BTF",141.50406,20089,2015,1,1
"2015-01","ZT","K","AZ","II","TT",3171.9,20089,2015,1,1
"2015-01","ZT","K","AZ","II","BMF",591.2,20089,2015,1,1
"2015-01","ZT","K","AZ","II","BTF",186.38671,20089,2015,1,1
"2015-01","ZT","D","IZ","II","TT",49198.8,20089,2015,1,1
"2015-01","ZT","D","IZ","II","BMF",3313.7,20089,2015,1,1
"2015-01","ZT","D","IZ","II","BTF",67.353269,20089,2015,1,1
"2015-01","ZT","D","IZ","IA","TT",1748,20089,2015,1,1
"2015-01","ZT","D","IZ","IA","BMF",177.5,20089,2015,1,1
"2015-01","ZT","D","IZ","IA","BTF",101.54462,20089,2015,1,1
"2015-01","ZT","D","AZ","II","TT",701.1,20089,2015,1,1
"2015-01","ZT","D","AZ","II","BMF",59,20089,2015,1,1
"2015-01","ZT","D","AZ","II","BTF",84.153473,20089,2015,1,1
"2015-01","ZT","EG","IZ","II","TT",464.1,20089,2015,1,1
"2015-01","ZT","EG","IZ","II","BMF",31.4,20089,2015,1,1
"2015-01","ZT","EG","IZ","II","BTF",67.657832,20089,2015,1,1
"2015-01","ZT","EG","IZ","IA","TT",1171.7,20089,2015,1,1
"2015-01","ZT","EG","IZ","IA","BMF",82.9,20089,2015,1,1
"2015-01","ZT","EG","IZ","IA","BTF",70.751899,20089,2015,1,1
"2015-01","PGT","K","IZ","II","TT",10292.4,20089,2015,1,1
"2015-01","PGT","K","IZ","II","BMF",1092.8,20089,2015,1,1
"2015-01","PGT","K","IZ","II","BTF",106.17543,20089,2015,1,1
"2015-01","PGT","K","IZ","IA","TT",3531.1,20089,2015,1,1
"2015-01","PGT","K","IZ","IA","BMF",576.6,20089,2015,1,1
"2015-01","PGT","K","IZ","IA","BTF",163.29189,20089,2015,1,1
"2015-01","PGT","K","AZ","II","TT",2843.1,20089,2015,1,1
"2015-01","PGT","K","AZ","II","BMF",499.4,20089,2015,1,1
"2015-01","PGT","K","AZ","II","BTF",175.65334,20089,2015,1,1
"2015-01","PGT","D","IZ","II","TT",48779.2,20089,2015,1,1
"2015-01","PGT","D","IZ","II","BMF",3280.3,20089,2015,1,1
"2015-01","PGT","D","IZ","II","BTF",67.247925,20089,2015,1,1
"2015-01","PGT","D","IZ","IA","TT",1746.1,20089,2015,1,1
"2015-01","PGT","D","IZ","IA","BMF",177.4,20089,2015,1,1
"2015-01","PGT","D","IZ","IA","BTF",101.59785,20089,2015,1,1
"2015-01","PGT","D","AZ","II","TT",692,20089,2015,1,1
"2015-01","PGT","D","AZ","II","BMF",57.1,20089,2015,1,1
"2015-01","PGT","D","AZ","II","BTF",82.514451,20089,2015,1,1
"2015-01","PGT","EG","IZ","II","TT",368.8,20089,2015,1,1
"2015-01","PGT","EG","IZ","II","BMF",23.7,20089,2015,1,1
"2015-01","PGT","EG","IZ","II","BTF",64.262473,20089,2015,1,1
"2015-01","PGT","EG","IZ","IA","TT",281.2,20089,2015,1,1
"2015-01","PGT","EG","IZ","IA","BMF",30.6,20089,2015,1,1
"2015-01","PGT","EG","IZ","IA","BTF",108.81935,20089,2015,1,1
"2015-01","PGKL","K","IZ","II","TT",1189.5,20089,2015,1,1
"2015-01","PGKL","K","IZ","II","BMF",28.3,20089,2015,1,1
"2015-01","PGKL","K","IZ","II","BTF",23.791509,20089,2015,1,1
"2015-01","PGKL","K","AZ","II","TT",12.1,20089,2015,1,1
"2015-01","PGKL","K","AZ","II","BMF",.4,20089,2015,1,1
"2015-01","PGKL","K","AZ","II","BTF",33.057851,20089,2015,1,1
"2015-01","PGKL","D","IZ","II","TT",5.9,20089,2015,1,1
"2015-01","PGKL","D","IZ","II","BMF",.2,20089,2015,1,1
"2015-01","PGKL","D","IZ","II","BTF",33.898305,20089,2015,1,1
"2015-01","PGKL","D","AZ","II","TT",1.8,20089,2015,1,1
"2015-01","PGKL","D","AZ","II","BMF",0,20089,2015,1,1
"2015-01","PGKL","D","AZ","II","BTF",0,20089,2015,1,1
"2015-01","PGKL","EG","IZ","II","TT",60.2,20089,2015,1,1
"2015-01","PGKL","EG","IZ","II","BMF",.6,20089,2015,1,1
"2015-01","PGKL","EG","IZ","II","BTF",9.9667774,20089,2015,1,1
"2015-01","DG","K","IZ","II","TT",2549.5,20089,2015,1,1
"2015-01","DG","K","IZ","II","BMF",365.8,20089,2015,1,1
"2015-01","DG","K","IZ","II","BTF",143.47911,20089,2015,1,1
"2015-01","DG","K","IZ","IA","TT",5590.9,20089,2015,1,1
"2015-01","DG","K","IZ","IA","BMF",714.2,20089,2015,1,1
"2015-01","DG","K","IZ","IA","BTF",127.7433,20089,2015,1,1
"2015-01","DG","K","AZ","II","TT",328.8,20089,2015,1,1
"2015-01","DG","K","AZ","II","BMF",91.7,20089,2015,1,1
"2015-01","DG","K","AZ","II","BTF",278.89294,20089,2015,1,1
"2015-01","DG","D","IZ","II","TT",419.6,20089,2015,1,1
"2015-01","DG","D","IZ","II","BMF",33.4,20089,2015,1,1
"2015-01","DG","D","IZ","II","BTF",79.599619,20089,2015,1,1
"2015-01","DG","D","IZ","IA","TT",1.9,20089,2015,1,1
"2015-01","DG","D","IZ","IA","BMF",.1,20089,2015,1,1
"2015-01","DG","D","IZ","IA","BTF",52.631579,20089,2015,1,1
"2015-01","DG","D","AZ","II","TT",9.1,20089,2015,1,1
"2015-01","DG","D","AZ","II","BMF",1.9,20089,2015,1,1
"2015-01","DG","D","AZ","II","BTF",208.79121,20089,2015,1,1
"2015-01","DG","EG","IZ","II","TT",95.3,20089,2015,1,1
"2015-01","DG","EG","IZ","II","BMF",7.7,20089,2015,1,1
"2015-01","DG","EG","IZ","II","BTF",80.797482,20089,2015,1,1
"2015-01","DG","EG","IZ","IA","TT",890.5,20089,2015,1,1
"2015-01","DG","EG","IZ","IA","BMF",52.3,20089,2015,1,1
"2015-01","DG","EG","IZ","IA","BTF",58.73105,20089,2015,1,1
"2015-01","BT","K","IZ","II","TT",292.2,20089,2015,1,1
"2015-01","BT","K","IZ","II","BMF",81,20089,2015,1,1
"2015-01","BT","K","IZ","II","BTF",277.20739,20089,2015,1,1
"2015-01","BT","K","IZ","IA","TT",224.3,20089,2015,1,1
"2015-01","BT","K","IZ","IA","BMF",59.2,20089,2015,1,1
"2015-01","BT","K","IZ","IA","BTF",263.93223,20089,2015,1,1
"2015-01","BT","K","AZ","II","TT",322.9,20089,2015,1,1
"2015-01","BT","K","AZ","II","BMF",71.7,20089,2015,1,1
"2015-01","BT","K","AZ","II","BTF",222.05017,20089,2015,1,1
"2015-01","BT","D","IZ","II","TT",9856.6,20089,2015,1,1
"2015-01","BT","D","IZ","II","BMF",2271.9,20089,2015,1,1
"2015-01","BT","D","IZ","II","BTF",230.4953,20089,2015,1,1
"2015-01","BT","D","IZ","IA","TT",1035.8,20089,2015,1,1
"2015-01","BT","D","IZ","IA","BMF",259.5,20089,2015,1,1
"2015-01","BT","D","IZ","IA","BTF",250.53099,20089,2015,1,1
"2015-01","BT","D","AZ","II","TT",110.8,20089,2015,1,1
"2015-01","BT","D","AZ","II","BMF",23.5,20089,2015,1,1
"2015-01","BT","D","AZ","II","BTF",212.09386,20089,2015,1,1
"2015-01","BT","EG","IZ","II","TT",34.9,20089,2015,1,1
"2015-01","BT","EG","IZ","II","BMF",9.5,20089,2015,1,1
"2015-01","BT","EG","IZ","II","BTF",272.2063,20089,2015,1,1
"2015-01","BT","EG","IZ","IA","TT",152,20089,2015,1,1
"2015-01","BT","EG","IZ","IA","BMF",62.3,20089,2015,1,1
"2015-01","BT","EG","IZ","IA","BTF",409.86842,20089,2015,1,1
