"Date","Cardholder origin","Cardholder origin detail","Amount CHF","Number of transactions"
"2019-01-01","Domestic","CHE",40580552.9,667790
"2019-01-01","Foreign","AUT",135615.03,1740
"2019-01-01","Foreign","CHN",877392.15,2861
"2019-01-01","Foreign","DEU",2992594.75,26576
"2019-01-01","Foreign","FRA",1649587.14,24315
"2019-01-01","Foreign","GBR",2015667.97,18312
"2019-01-01","Foreign","ITA",1418846.22,16834
"2019-01-01","Foreign","LIE",45547.92,718
"2019-01-01","Foreign","NLD",623234.99,7697
"2019-01-01","Foreign","RUS",542054.8,3980
"2019-01-01","Foreign","RoW",4528639.36999999,39246
"2019-01-01","Foreign","USA",1320774.77,11864
"2019-01-02","Domestic","CHE",103755102.08,1546045
"2019-01-02","Foreign","AUT",246449.12,2937
"2019-01-02","Foreign","CHN",1966815.08,3700
"2019-01-02","Foreign","DEU",4497913.21,36526
"2019-01-02","Foreign","FRA",2294496.59,33829
"2019-01-02","Foreign","GBR",2626309.39,22452
"2019-01-02","Foreign","ITA",2127591.93,25517
"2019-01-02","Foreign","LIE",308320.7,3400
"2019-01-02","Foreign","NLD",848619.1,10208
"2019-01-02","Foreign","RUS",1088233.9,7170
"2019-01-02","Foreign","RoW",7660630.58000002,56749
"2019-01-02","Foreign","USA",1861144.79,14937
"2019-01-03","Domestic","CHE",151252161.24,2315277
"2019-01-03","Foreign","AUT",321097.36,3257
"2019-01-03","Foreign","CHN",1853615.97,3641
"2019-01-03","Foreign","DEU",4316299.97,38006
"2019-01-03","Foreign","FRA",2395630.9,38352
"2019-01-03","Foreign","GBR",2489888.27,22566
"2019-01-03","Foreign","ITA",1935190.53,24844
"2019-01-03","Foreign","LIE",295126.53,3468
"2019-01-03","Foreign","NLD",841191.8,9869
"2019-01-03","Foreign","RUS",1376873.77,7852
"2019-01-03","Foreign","RoW",8105263.25000001,56241
"2019-01-03","Foreign","USA",2026066.74,15741
"2019-01-04","Domestic","CHE",162414075.26,2448772
"2019-01-04","Foreign","AUT",256044.65,2954
"2019-01-04","Foreign","CHN",1213348.02,3174
"2019-01-04","Foreign","DEU",4555417.29,35630
"2019-01-04","Foreign","FRA",2181864.44,36096
"2019-01-04","Foreign","GBR",2334495.3,20961
"2019-01-04","Foreign","ITA",1922375.62,23102
"2019-01-04","Foreign","LIE",376081.95,4242
"2019-01-04","Foreign","NLD",998751.100000001,9174
"2019-01-04","Foreign","RUS",1714939,8683
"2019-01-04","Foreign","RoW",7828680.43000005,52378
"2019-01-04","Foreign","USA",2021194.07,14326
"2019-01-05","Domestic","CHE",172840403.92,2493311
"2019-01-05","Foreign","AUT",189825.54,2450
"2019-01-05","Foreign","CHN",1087911.5,3076
"2019-01-05","Foreign","DEU",4007873.78,30638
"2019-01-05","Foreign","FRA",1938540.31,30839
"2019-01-05","Foreign","GBR",2069523.01,22447
"2019-01-05","Foreign","ITA",1982550.04,22428
"2019-01-05","Foreign","LIE",360061.56,4008
"2019-01-05","Foreign","NLD",667564.37,7315
"2019-01-05","Foreign","RUS",1821530.05,9199
"2019-01-05","Foreign","RoW",6275845.69000002,49348
"2019-01-05","Foreign","USA",1520288.96,13537
"2019-01-06","Domestic","CHE",38089948.7599999,738049
"2019-01-06","Foreign","AUT",134948.87,1549
"2019-01-06","Foreign","CHN",629760.47,2008
"2019-01-06","Foreign","DEU",2602713.94,17658
"2019-01-06","Foreign","FRA",1033244.12,17656
"2019-01-06","Foreign","GBR",1525491.12,15879
"2019-01-06","Foreign","ITA",1271666.21,14407
"2019-01-06","Foreign","LIE",46907.14,846
"2019-01-06","Foreign","NLD",350067.88,3591
"2019-01-06","Foreign","RUS",1456754.89,6926
"2019-01-06","Foreign","RoW",3806965.60999999,31791
"2019-01-06","Foreign","USA",887727.32,9440
"2019-01-07","Domestic","CHE",116855184.79,2198378
"2019-01-07","Foreign","AUT",197688.27,2466
"2019-01-07","Foreign","CHN",1003809.25,2527
"2019-01-07","Foreign","DEU",2000449.08,21244
"2019-01-07","Foreign","FRA",1651441.82,32162
"2019-01-07","Foreign","GBR",1853471.78,17910
"2019-01-07","Foreign","ITA",868038.51,12097
"2019-01-07","Foreign","LIE",214380.91,3063
"2019-01-07","Foreign","NLD",306788.45,3858
"2019-01-07","Foreign","RUS",2064512.51,8390
"2019-01-07","Foreign","RoW",5409903.17,42634
"2019-01-07","Foreign","USA",1686390.94,12399
"2019-01-08","Domestic","CHE",113793581.54,2151201
"2019-01-08","Foreign","AUT",202230.71,2615
"2019-01-08","Foreign","CHN",1322172.41,2367
"2019-01-08","Foreign","DEU",1557963.06,19901
"2019-01-08","Foreign","FRA",1574410.21,29920
"2019-01-08","Foreign","GBR",1499313.62,16162
"2019-01-08","Foreign","ITA",806672.89,11590
"2019-01-08","Foreign","LIE",216311.22,3005
"2019-01-08","Foreign","NLD",298181.69,3323
"2019-01-08","Foreign","RUS",1684173.87,7749
"2019-01-08","Foreign","RoW",5654305.33,37446
"2019-01-08","Foreign","USA",1199413.12,10854
"2019-01-09","Domestic","CHE",117106449.16,2219949
"2019-01-09","Foreign","AUT",188539.59,2485
"2019-01-09","Foreign","CHN",1301128.97,2452
"2019-01-09","Foreign","DEU",1695518.1,20337
"2019-01-09","Foreign","FRA",1567436.29,30212
"2019-01-09","Foreign","GBR",1553857.18,17419
"2019-01-09","Foreign","ITA",855800.41,11798
"2019-01-09","Foreign","LIE",221076.24,2972
"2019-01-09","Foreign","NLD",286937.45,3413
"2019-01-09","Foreign","RUS",1690104.39,6835
"2019-01-09","Foreign","RoW",5239609.01000002,37988
"2019-01-09","Foreign","USA",1324989.95,10682
"2019-01-10","Domestic","CHE",120053406.04,2286297
"2019-01-10","Foreign","AUT",252229.83,2497
"2019-01-10","Foreign","CHN",1306864.48,2496
"2019-01-10","Foreign","DEU",1894187.45,21405
"2019-01-10","Foreign","FRA",1790874.07,33513
"2019-01-10","Foreign","GBR",1800868.16,18730
"2019-01-10","Foreign","ITA",873977.450000001,12635
"2019-01-10","Foreign","LIE",221086.39,3036
"2019-01-10","Foreign","NLD",365014.23,3838
"2019-01-10","Foreign","RUS",1731842.42,6491
"2019-01-10","Foreign","RoW",5459143.51000004,40565
"2019-01-10","Foreign","USA",1463309,10769
"2019-01-11","Domestic","CHE",153418576.11,2671011
"2019-01-11","Foreign","AUT",222713.64,2669
"2019-01-11","Foreign","CHN",1471686.4,2990
"2019-01-11","Foreign","DEU",2318622.91,23489
"2019-01-11","Foreign","FRA",1824031.09,35936
"2019-01-11","Foreign","GBR",1939983.98,20197
"2019-01-11","Foreign","ITA",950422.74,13651
"2019-01-11","Foreign","LIE",326520.62,3918
"2019-01-11","Foreign","NLD",385051.81,4176
"2019-01-11","Foreign","RUS",1352087.98,6309
"2019-01-11","Foreign","RoW",6554294.91000004,43595
"2019-01-11","Foreign","USA",1674085.35,11778
"2019-01-12","Domestic","CHE",190666678.78,2797478
"2019-01-12","Foreign","AUT",207832.48,2556
"2019-01-12","Foreign","CHN",1513222.82,3261
"2019-01-12","Foreign","DEU",2131080.01,22868
"2019-01-12","Foreign","FRA",1739318.44,29207
"2019-01-12","Foreign","GBR",1599583.43,22951
"2019-01-12","Foreign","ITA",1507731.14,18600
"2019-01-12","Foreign","LIE",459272.01,5180
"2019-01-12","Foreign","NLD",356806.97,4547
"2019-01-12","Foreign","RUS",1488813.1,6589
"2019-01-12","Foreign","RoW",5275113.31999998,45271
"2019-01-12","Foreign","USA",1206320.63,12064
"2019-01-13","Domestic","CHE",37816905.0299999,765665
"2019-01-13","Foreign","AUT",142671.81,1695
"2019-01-13","Foreign","CHN",1019066.94,2100
"2019-01-13","Foreign","DEU",1187712.8,13475
"2019-01-13","Foreign","FRA",941258.02,17629
"2019-01-13","Foreign","GBR",1355209.85,16499
"2019-01-13","Foreign","ITA",1166483.09,14533
"2019-01-13","Foreign","LIE",49796.61,881
"2019-01-13","Foreign","NLD",287100.16,3083
"2019-01-13","Foreign","RUS",699440.89,4095
"2019-01-13","Foreign","RoW",3181619.01999999,30639
"2019-01-13","Foreign","USA",694377.04,8330
"2019-01-14","Domestic","CHE",108444476.96,2182975
"2019-01-14","Foreign","AUT",276578.68,2693
"2019-01-14","Foreign","CHN",2335470.94,3176
"2019-01-14","Foreign","DEU",1386802.89,18976
"2019-01-14","Foreign","FRA",1620216.4,32700
"2019-01-14","Foreign","GBR",1679007.08,18636
"2019-01-14","Foreign","ITA",797058.17,12472
"2019-01-14","Foreign","LIE",180453.39,2794
"2019-01-14","Foreign","NLD",353903.81,3831
"2019-01-14","Foreign","RUS",732792.299999999,4542
"2019-01-14","Foreign","RoW",5124454.87000002,41408
"2019-01-14","Foreign","USA",1719148.95,11571
"2019-01-15","Domestic","CHE",111651108.41,2204668
"2019-01-15","Foreign","AUT",215816.12,2790
"2019-01-15","Foreign","CHN",2904019.08,3419
"2019-01-15","Foreign","DEU",1570558.11,20782
"2019-01-15","Foreign","FRA",1566756.08,32789
"2019-01-15","Foreign","GBR",1754931.61,18285
"2019-01-15","Foreign","ITA",825072.189999999,12571
"2019-01-15","Foreign","LIE",208578.89,3050
