"Date","Cardholder origin","Merchant category","Amount CHF","Number of transactions"
"2019-01-01","Domestic","Accommodation",7984279.71,31105
"2019-01-01","Domestic","Entertainment and sports",1730310.31,25457
"2019-01-01","Domestic","Food and beverage services",9257690.57,145778
"2019-01-01","Domestic","Human health services",157931.06,1647
"2019-01-01","Domestic","Other",213636.69,2658
"2019-01-01","Domestic","Personal services",313726.35,3016
"2019-01-01","Domestic","Professional services",1017471.65,11653
"2019-01-01","Domestic","Retail: Food, beverage, tobacco",2963025.27,125227
"2019-01-01","Domestic","Retail: Fuel stations",6365739.75,148845
"2019-01-01","Domestic","Retail: Other goods",5003152.75,45372
"2019-01-01","Domestic","Transport services",5573588.79,127032
"2019-01-01","Foreign","Accommodation",6544978.75999999,18074
"2019-01-01","Foreign","Entertainment and sports",385315.63,3893
"2019-01-01","Foreign","Food and beverage services",2522026.16,45489
"2019-01-01","Foreign","Human health services",161052.44,342
"2019-01-01","Foreign","Other",58522.12,233
"2019-01-01","Foreign","Personal services",74639.7,1135
"2019-01-01","Foreign","Professional services",779095.78,5710
"2019-01-01","Foreign","Retail: Food, beverage, tobacco",619850.719999999,23508
"2019-01-01","Foreign","Retail: Fuel stations",618038.260000001,14137
"2019-01-01","Foreign","Retail: Other goods",2615747.08999999,16306
"2019-01-01","Foreign","Transport services",1770688.45,25316
"2019-01-02","Domestic","Accommodation",8016039.56,24187
"2019-01-02","Domestic","Entertainment and sports",3273000.91,42633
"2019-01-02","Domestic","Food and beverage services",7278771.74,163481
"2019-01-02","Domestic","Human health services",771248.49,4154
"2019-01-02","Domestic","Other",830196.73,4854
"2019-01-02","Domestic","Personal services",687322.46,8010
"2019-01-02","Domestic","Professional services",2258145.75,23155
"2019-01-02","Domestic","Retail: Food, beverage, tobacco",24849728.7,592189
"2019-01-02","Domestic","Retail: Fuel stations",9028808.58,191607
"2019-01-02","Domestic","Retail: Other goods",41827491.81,366850
"2019-01-02","Domestic","Transport services",4934347.35,124925
"2019-01-02","Foreign","Accommodation",7207247.14000001,15999
"2019-01-02","Foreign","Entertainment and sports",514415.67,5142
"2019-01-02","Foreign","Food and beverage services",2205727.43,42998
"2019-01-02","Foreign","Human health services",277061.32,801
"2019-01-02","Foreign","Other",169258.9,604
"2019-01-02","Foreign","Personal services",91190.06,1217
"2019-01-02","Foreign","Professional services",1645271,8726
"2019-01-02","Foreign","Retail: Food, beverage, tobacco",1871188.13999999,51268
"2019-01-02","Foreign","Retail: Fuel stations",858115.970000001,17796
"2019-01-02","Foreign","Retail: Other goods",8706580.80000004,46796
"2019-01-02","Foreign","Transport services",1980467.96,26078
"2019-01-03","Domestic","Accommodation",5293884.51,33147
"2019-01-03","Domestic","Entertainment and sports",3068384.58,33809
"2019-01-03","Domestic","Food and beverage services",8317408.26,211108
"2019-01-03","Domestic","Human health services",1919418.46,8448
"2019-01-03","Domestic","Other",2199044.68,9717
"2019-01-03","Domestic","Personal services",2024690.66,20953
"2019-01-03","Domestic","Professional services",4603440.82,39654
"2019-01-03","Domestic","Retail: Food, beverage, tobacco",42988337.45,984268
"2019-01-03","Domestic","Retail: Fuel stations",9492898.29999999,191570
"2019-01-03","Domestic","Retail: Other goods",64801480.5,621100
"2019-01-03","Domestic","Transport services",6543173.02,161503
"2019-01-03","Foreign","Accommodation",6315671.09999999,15719
"2019-01-03","Foreign","Entertainment and sports",403322.82,4131
"2019-01-03","Foreign","Food and beverage services",2187395.92,42433
"2019-01-03","Foreign","Human health services",269955.29,852
"2019-01-03","Foreign","Other",225117.39,760
"2019-01-03","Foreign","Personal services",124536.58,1616
"2019-01-03","Foreign","Professional services",1825356.66,9664
"2019-01-03","Foreign","Retail: Food, beverage, tobacco",1906614.18999999,52742
"2019-01-03","Foreign","Retail: Fuel stations",772737.07,15767
"2019-01-03","Foreign","Retail: Other goods",9707260.84000004,49916
"2019-01-03","Foreign","Transport services",2218277.23,30237
"2019-01-04","Domestic","Accommodation",6050827.3,34472
"2019-01-04","Domestic","Entertainment and sports",3013605.87,37034
"2019-01-04","Domestic","Food and beverage services",10308021.64,241643
"2019-01-04","Domestic","Human health services",2157329.44,8802
"2019-01-04","Domestic","Other",2303078.1,10758
"2019-01-04","Domestic","Personal services",2490532.51,25739
"2019-01-04","Domestic","Professional services",4261011.32,34241
"2019-01-04","Domestic","Retail: Food, beverage, tobacco",51002521.96,1063990
"2019-01-04","Domestic","Retail: Fuel stations",10354865.4,207090
