"Date","Channel","Merchant category","Amount CHF","Number of transactions"
"2019-01-01","All","Accommodation",14529258.47,49179
"2019-01-01","All","Entertainment and sports",2115625.94,29350
"2019-01-01","All","Food and beverage services",11779716.73,191267
"2019-01-01","All","Human health services",318983.5,1989
"2019-01-01","All","Motor vehicles",29014.66,544
"2019-01-01","All","Other",243144.15,2347
"2019-01-01","All","Personal services",388366.05,4151
"2019-01-01","All","Professional services",1796567.43,17363
"2019-01-01","All","Retail: Fuel stations",6983778.01,162982
"2019-01-01","All","Transport services",7344277.24,152348
"2019-01-01","E-comm","Retail: Food, beverage, tobacco",134515.34,1204
"2019-01-01","E-comm","Retail: Other goods",2445459.36,17437
"2019-01-01","POS","Retail: Food, beverage, tobacco",3448360.65,147531
"2019-01-01","POS","Retail: Other goods",5173440.48,44241
"2019-01-02","All","Accommodation",15223286.7,40186
"2019-01-02","All","Entertainment and sports",3787416.58,47775
"2019-01-02","All","Food and beverage services",9484499.17,206479
"2019-01-02","All","Human health services",1048309.81,4955
"2019-01-02","All","Motor vehicles",281957.81,2099
"2019-01-02","All","Other",717497.82,3359
"2019-01-02","All","Personal services",778512.52,9227
"2019-01-02","All","Professional services",3903416.75,31881
"2019-01-02","All","Retail: Fuel stations",9886924.54999998,209403
"2019-01-02","All","Transport services",6914815.31,151003
"2019-01-02","E-comm","Retail: Food, beverage, tobacco",334857.2,2645
"2019-01-02","E-comm","Retail: Other goods",4474119.9,25089
"2019-01-02","POS","Retail: Food, beverage, tobacco",26386059.64,640812
"2019-01-02","POS","Retail: Other goods",46059952.71,388557
"2019-01-03","All","Accommodation",11609555.61,48866
"2019-01-03","All","Entertainment and sports",3471707.4,37940
"2019-01-03","All","Food and beverage services",10504804.18,253541
"2019-01-03","All","Human health services",2189373.75,9300
"2019-01-03","All","Motor vehicles",1172142.05,5984
"2019-01-03","All","Other",1252020.02,4493
"2019-01-03","All","Personal services",2149227.24,22569
"2019-01-03","All","Professional services",6428797.47999999,49318
"2019-01-03","All","Retail: Fuel stations",10265635.37,207337
"2019-01-03","All","Transport services",8761450.24999999,191740
"2019-01-03","E-comm","Retail: Food, beverage, tobacco",848606.39,5575
"2019-01-03","E-comm","Retail: Other goods",5409693.82,45133
"2019-01-03","POS","Retail: Food, beverage, tobacco",44046345.2499999,1031435
"2019-01-03","POS","Retail: Other goods",69099047.52,625883
"2019-01-04","All","Accommodation",12798346.37,49704
"2019-01-04","All","Entertainment and sports",3379342.62,40806
"2019-01-04","All","Food and beverage services",12467826.63,282691
"2019-01-04","All","Human health services",2465097.93,9668
"2019-01-04","All","Motor vehicles",1502933.75,7051
"2019-01-04","All","Other",1061226.76,4463
"2019-01-04","All","Personal services",2608426.22,27178
"2019-01-04","All","Professional services",6052250.94,43068
"2019-01-04","All","Retail: Fuel stations",11175927.85,223753
"2019-01-04","All","Transport services",6673133.77,187577
"2019-01-04","E-comm","Retail: Food, beverage, tobacco",977840.05,6122
"2019-01-04","E-comm","Retail: Other goods",4615246.52,25852
"2019-01-04","POS","Retail: Food, beverage, tobacco",51859927.1899999,1107134
"2019-01-04","POS","Retail: Other goods",70179740.5299998,644425
"2019-01-05","All","Accommodation",12086625.07,35683
"2019-01-05","All","Entertainment and sports",3082095.41,41051
"2019-01-05","All","Food and beverage services",12041042.73,245742
"2019-01-05","All","Human health services",2151569.62,6637
"2019-01-05","All","Motor vehicles",416651.35,2093
"2019-01-05","All","Other",483483.91,3340
"2019-01-05","All","Personal services",2302110.46,23720
"2019-01-05","All","Professional services",3425081.25,28495
"2019-01-05","All","Retail: Fuel stations",10156707.08,206289
"2019-01-05","All","Transport services",5036431.17,163152
"2019-01-05","E-comm","Retail: Food, beverage, tobacco",597900.49,3997
"2019-01-05","E-comm","Retail: Other goods",3182468.32,18769
"2019-01-05","POS","Retail: Food, beverage, tobacco",64487836.5300001,1217567
"2019-01-05","POS","Retail: Other goods",75311915.34,692061
"2019-01-06","All","Accommodation",9646113.79999999,28010
"2019-01-06","All","Entertainment and sports",2752904.84,35107
"2019-01-06","All","Food and beverage services",7393904.19999999,165065
"2019-01-06","All","Human health services",255841.53,2038
"2019-01-06","All","Motor vehicles",40811.59,737
"2019-01-06","All","Other",341002.04,2535
"2019-01-06","All","Personal services",416230.88,4422
"2019-01-06","All","Professional services",2367409.31,20280
"2019-01-06","All","Retail: Fuel stations",9459996.70000001,213521
"2019-01-06","All","Transport services",4968347.17,121512
"2019-01-06","E-comm","Retail: Food, beverage, tobacco",336492.68,2568
"2019-01-06","E-comm","Retail: Other goods",3858922.11,22703
"2019-01-06","POS","Retail: Food, beverage, tobacco",4344208.55000001,189203
"2019-01-06","POS","Retail: Other goods",5654010.92999999,52099
"2019-01-07","All","Accommodation",6310730.40999999,40245
"2019-01-07","All","Entertainment and sports",2957865.15,19262
"2019-01-07","All","Food and beverage services",6648711.5,238680
"2019-01-07","All","Human health services",2258185.87,9985
"2019-01-07","All","Motor vehicles",1240544.04,5335
"2019-01-07","All","Other",1387253.54,5080
"2019-01-07","All","Personal services",1331663.71,13655
"2019-01-07","All","Professional services",7238949.26999999,50093
"2019-01-07","All","Retail: Fuel stations",9874354.84999999,207863
"2019-01-07","All","Transport services",5514604.16,160895
"2019-01-07","E-comm","Retail: Food, beverage, tobacco",1054695.03,6624
"2019-01-07","E-comm","Retail: Other goods",5829838.22,37230
"2019-01-07","POS","Retail: Food, beverage, tobacco",40394403.4,1109374
"2019-01-07","POS","Retail: Other goods",42070260.3300001,452807
"2019-01-08","All","Accommodation",5887564.11,42250
"2019-01-08","All","Entertainment and sports",2773401.93,20330
"2019-01-08","All","Food and beverage services",7858692.26,261493
"2019-01-08","All","Human health services",2657820.15,11497
"2019-01-08","All","Motor vehicles",1488941.35,5172
"2019-01-08","All","Other",1350776.51,5226
"2019-01-08","All","Personal services",2264028.07,21697
"2019-01-08","All","Professional services",5981151.19,43520
"2019-01-08","All","Retail: Fuel stations",9657717.93999999,205670
"2019-01-08","All","Transport services",4081740.36,162644
"2019-01-08","E-comm","Retail: Food, beverage, tobacco",884999.63,5635
"2019-01-08","E-comm","Retail: Other goods",5320173.94,29944
"2019-01-08","POS","Retail: Food, beverage, tobacco",36494276.18,1039182
"2019-01-08","POS","Retail: Other goods",43107446.05,441873
"2019-01-09","All","Accommodation",5847236.60999999,43714
"2019-01-09","All","Entertainment and sports",2543045.47,22437
"2019-01-09","All","Food and beverage services",8745581.73999999,277886
"2019-01-09","All","Human health services",2964405.24,11590
"2019-01-09","All","Motor vehicles",1514063.95,5274
"2019-01-09","All","Other",1442410.53,5282
"2019-01-09","All","Personal services",2270933.54,22033
"2019-01-09","All","Professional services",5901177.28,41810
"2019-01-09","All","Retail: Fuel stations",9987487.02,211975
"2019-01-09","All","Transport services",4174146.68,174438
"2019-01-09","E-comm","Retail: Food, beverage, tobacco",818318.560000001,5000
"2019-01-09","E-comm","Retail: Other goods",4932229.83,28555
"2019-01-09","POS","Retail: Food, beverage, tobacco",36579950.47,1045859
"2019-01-09","POS","Retail: Other goods",45310459.8200001,470689
"2019-01-10","All","Accommodation",7189268.25,48193
"2019-01-10","All","Entertainment and sports",2674160.32,20799
"2019-01-10","All","Food and beverage services",9988466.63000002,305983
"2019-01-10","All","Human health services",2859305.43,11413
"2019-01-10","All","Motor vehicles",1584419.82,5172
"2019-01-10","All","Other",1472319.05,5269
"2019-01-10","All","Personal services",2461894.1,23332
"2019-01-10","All","Professional services",5730774.10999999,39821
"2019-01-10","All","Retail: Fuel stations",10330024.25,221337
"2019-01-10","All","Transport services",4508369.86,192145
"2019-01-10","E-comm","Retail: Food, beverage, tobacco",1010042.28,5777
"2019-01-10","E-comm","Retail: Other goods",4965217.03000001,34307
"2019-01-10","POS","Retail: Food, beverage, tobacco",37367436.96,1058511
"2019-01-10","POS","Retail: Other goods",45071104.94,470213
"2019-01-11","All","Accommodation",8481758.21,51933
"2019-01-11","All","Entertainment and sports",2605040.47,26304
"2019-01-11","All","Food and beverage services",13628420.61,358618
"2019-01-11","All","Human health services",3331292.89,11932
"2019-01-11","All","Motor vehicles",1972064.17,6512
"2019-01-11","All","Other",1120260.75,5220
"2019-01-11","All","Personal services",2999591.01,28944
"2019-01-11","All","Professional services",6038128.14,40894
"2019-01-11","All","Retail: Fuel stations",12043945.76,254238
"2019-01-11","All","Transport services",4951916.64,206185
"2019-01-11","E-comm","Retail: Food, beverage, tobacco",915959.170000001,5273
"2019-01-11","E-comm","Retail: Other goods",4082666.7,24218
"2019-01-11","POS","Retail: Food, beverage, tobacco",55889224.46,1267567
"2019-01-11","POS","Retail: Other goods",54377808.5599999,551881
"2019-01-12","All","Accommodation",7804336.15,37116
"2019-01-12","All","Entertainment and sports",3173696.53,39507
"2019-01-12","All","Food and beverage services",14272192.39,294851
"2019-01-12","All","Human health services",2725051.42,8117
"2019-01-12","All","Motor vehicles",488516.89,2915
"2019-01-12","All","Other",559233.1,4509
"2019-01-12","All","Personal services",2756318.31,27723
"2019-01-12","All","Professional services",3475638.09,29748
"2019-01-12","All","Retail: Fuel stations",11257916.3,232665
"2019-01-12","All","Transport services",5591011.89,198648
"2019-01-12","E-comm","Retail: Food, beverage, tobacco",490383.36,3558
"2019-01-12","E-comm","Retail: Other goods",3005621.43,18760
"2019-01-12","POS","Retail: Food, beverage, tobacco",71316526.9099999,1318918
"2019-01-12","POS","Retail: Other goods",81235330.3600001,753537
"2019-01-13","All","Accommodation",7884071.49,30520
"2019-01-13","All","Entertainment and sports",3232773.75,41969
"2019-01-13","All","Food and beverage services",8180625.1,185078
"2019-01-13","All","Human health services",315643.15,2222
"2019-01-13","All","Motor vehicles",30644.02,407
"2019-01-13","All","Other",331787.47,2856
"2019-01-13","All","Personal services",439602.94,4733
"2019-01-13","All","Professional services",2205542.47,20507
"2019-01-13","All","Retail: Fuel stations",8873416.14000002,209478
"2019-01-13","All","Transport services",3422199.13,119915
"2019-01-13","E-comm","Retail: Food, beverage, tobacco",317650.47,2549
"2019-01-13","E-comm","Retail: Other goods",4161775.53,24816
"2019-01-13","POS","Retail: Food, beverage, tobacco",4018999.06,182231
"2019-01-13","POS","Retail: Other goods",5126910.54,51343
"2019-01-14","All","Accommodation",5826725.93,42856
"2019-01-14","All","Entertainment and sports",2710635.28,19571
"2019-01-14","All","Food and beverage services",7104722.13999999,257182
"2019-01-14","All","Human health services",2092503.77,10330
"2019-01-14","All","Motor vehicles",1183750.32,4418
"2019-01-14","All","Other",937350.53,5193
"2019-01-14","All","Personal services",1227402.11,12821
"2019-01-14","All","Professional services",6462846.26,43700
"2019-01-14","All","Retail: Fuel stations",9876099.95,214255
"2019-01-14","All","Transport services",4021795.05,160765
"2019-01-14","E-comm","Retail: Food, beverage, tobacco",1018287.74,6160
"2019-01-14","E-comm","Retail: Other goods",5651724.94,35855
"2019-01-14","POS","Retail: Food, beverage, tobacco",37550000.1400001,1094840
"2019-01-14","POS","Retail: Other goods",38986520.28,427828
"2019-01-15","All","Accommodation",6129498.62000001,46844
"2019-01-15","All","Entertainment and sports",2460906.4,19909
"2019-01-15","All","Food and beverage services",9112162.1,290622
"2019-01-15","All","Human health services",2765225.72,11740
"2019-01-15","All","Motor vehicles",1376209.95,5306
"2019-01-15","All","Other",929799.29,5035
"2019-01-15","All","Personal services",2241697.23,21601
"2019-01-15","All","Professional services",5745944.02,40636
"2019-01-15","All","Retail: Fuel stations",10224604.32,224291
"2019-01-15","All","Transport services",4390960.62,174019
"2019-01-15","E-comm","Retail: Food, beverage, tobacco",750905.26,4820
"2019-01-15","E-comm","Retail: Other goods",5030669.76000001,28640
"2019-01-15","POS","Retail: Food, beverage, tobacco",36441636.85,1062500
"2019-01-15","POS","Retail: Other goods",41080789.35,423595
"2019-01-16","All","Accommodation",6401307.89,49616
"2019-01-16","All","Entertainment and sports",2479802.1,22210
"2019-01-16","All","Food and beverage services",10273645.44,311232
"2019-01-16","All","Human health services",2830428.74,11907
"2019-01-16","All","Motor vehicles",1381824.13,5604
"2019-01-16","All","Other",862208.35,5252
"2019-01-16","All","Personal services",2328077.1,22189
"2019-01-16","All","Professional services",5705191.53,40085
"2019-01-16","All","Retail: Fuel stations",10777191.34,234694
"2019-01-16","All","Transport services",4703296.04,185816
"2019-01-16","E-comm","Retail: Food, beverage, tobacco",745696.15,4934
"2019-01-16","E-comm","Retail: Other goods",4527209.49,26444
"2019-01-16","POS","Retail: Food, beverage, tobacco",36133584.89,1062645
"2019-01-16","POS","Retail: Other goods",43239938.92,455648
"2019-01-17","All","Accommodation",7792533.96,52592
"2019-01-17","All","Entertainment and sports",2455376.82,21605
"2019-01-17","All","Food and beverage services",11055144.33,323617
"2019-01-17","All","Human health services",2824396.32,11533
"2019-01-17","All","Motor vehicles",1426124.99,4834
"2019-01-17","All","Other",882335.29,5048
"2019-01-17","All","Personal services",2623677.39,24808
"2019-01-17","All","Professional services",5284851.31,38424
"2019-01-17","All","Retail: Fuel stations",10555227.47,231228
"2019-01-17","All","Transport services",4160049.99,185380
"2019-01-17","E-comm","Retail: Food, beverage, tobacco",900511.54,5308
"2019-01-17","E-comm","Retail: Other goods",4436167.11000001,31436
"2019-01-17","POS","Retail: Food, beverage, tobacco",38358165.52,1073983
"2019-01-17","POS","Retail: Other goods",42919644.66,447792
"2019-01-18","All","Accommodation",9617243.91000001,55997
"2019-01-18","All","Entertainment and sports",2616549.34,27108
"2019-01-18","All","Food and beverage services",14484673.81,372038
"2019-01-18","All","Human health services",3114325.43,11891
"2019-01-18","All","Motor vehicles",1651550.13,6376
"2019-01-18","All","Other",887708.64,5322
"2019-01-18","All","Personal services",2996864.66,29369
"2019-01-18","All","Professional services",5916269.02,42016
"2019-01-18","All","Retail: Fuel stations",12350827.38,265012
"2019-01-18","All","Transport services",5312495.53,209755
"2019-01-18","E-comm","Retail: Food, beverage, tobacco",875469.95,5405
"2019-01-18","E-comm","Retail: Other goods",3824684.39,22379
"2019-01-18","POS","Retail: Food, beverage, tobacco",54806154.48,1259442
"2019-01-18","POS","Retail: Other goods",52499154.6099997,516173
"2019-01-19","All","Accommodation",8438555.58,44368
"2019-01-19","All","Entertainment and sports",2841261.38,38492
"2019-01-19","All","Food and beverage services",15004060.31,308400
"2019-01-19","All","Human health services",2342807.44,7637
"2019-01-19","All","Motor vehicles",551313.97,4445
"2019-01-19","All","Other",479016.45,4136
"2019-01-19","All","Personal services",2820158.59,27846
"2019-01-19","All","Professional services",3413852.36,31119
"2019-01-19","All","Retail: Fuel stations",11801650.47,244100
"2019-01-19","All","Transport services",7100568.6,215421
"2019-01-19","E-comm","Retail: Food, beverage, tobacco",443088.44,3275
"2019-01-19","E-comm","Retail: Other goods",2637231.97,16420
"2019-01-19","POS","Retail: Food, beverage, tobacco",68821242.04,1290725
"2019-01-19","POS","Retail: Other goods",75960522.2799999,702208
"2019-01-20","All","Accommodation",9484057.49999998,38391
"2019-01-20","All","Entertainment and sports",2830528.72,37650
"2019-01-20","All","Food and beverage services",9232854.97999999,203671
"2019-01-20","All","Human health services",196059.49,2201
"2019-01-20","All","Motor vehicles",55420.92,1544
"2019-01-20","All","Other",364248.29,3029
"2019-01-20","All","Personal services",405451.57,4749
"2019-01-20","All","Professional services",2210994.57,20670
"2019-01-20","All","Retail: Fuel stations",9824432.43999997,228624
"2019-01-20","All","Transport services",5430446.26,144603
"2019-01-20","E-comm","Retail: Food, beverage, tobacco",321713.74,2525
"2019-01-20","E-comm","Retail: Other goods",3735797.93,22896
"2019-01-20","POS","Retail: Food, beverage, tobacco",4260356.17000001,194916
"2019-01-20","POS","Retail: Other goods",6164590.82,58137
"2019-01-21","All","Accommodation",6587702.35,45437
"2019-01-21","All","Entertainment and sports",2302693.46,18121
"2019-01-21","All","Food and beverage services",7481606.19,265380
"2019-01-21","All","Human health services",2141084.85,9995
"2019-01-21","All","Motor vehicles",1150757.63,5525
"2019-01-21","All","Other",1008881.33,5135
"2019-01-21","All","Personal services",1241248.9,12936
"2019-01-21","All","Professional services",6070218.38999999,43594
"2019-01-21","All","Retail: Fuel stations",10234677.94,222376
"2019-01-21","All","Transport services",4570899.19,165504
"2019-01-21","E-comm","Retail: Food, beverage, tobacco",881302.69,5765
"2019-01-21","E-comm","Retail: Other goods",5125173.67,32164
"2019-01-21","POS","Retail: Food, beverage, tobacco",37635581.57,1088697
"2019-01-21","POS","Retail: Other goods",37854156.1400001,421078
"2019-01-22","All","Accommodation",6546123.76999999,49400
"2019-01-22","All","Entertainment and sports",2119192.06,19316
"2019-01-22","All","Food and beverage services",9465749.25000003,294392
"2019-01-22","All","Human health services",2584470.41,11319
"2019-01-22","All","Motor vehicles",1299244.15,5448
"2019-01-22","All","Other",1283462.56,5455
"2019-01-22","All","Personal services",2187483.9,21167
"2019-01-22","All","Professional services",5172947.25,37318
"2019-01-22","All","Retail: Fuel stations",10170444.3,221949
"2019-01-22","All","Transport services",4289098.27,174807
"2019-01-22","E-comm","Retail: Food, beverage, tobacco",802134.13,5162
"2019-01-22","E-comm","Retail: Other goods",4520602.91,26268
"2019-01-22","POS","Retail: Food, beverage, tobacco",35257671.44,1038361
"2019-01-22","POS","Retail: Other goods",38885700.77,413904
"2019-01-23","All","Accommodation",7100323.19999999,51224
"2019-01-23","All","Entertainment and sports",2197841.33,22340
"2019-01-23","All","Food and beverage services",10435656.41,311968
"2019-01-23","All","Human health services",2732968.87,11688
"2019-01-23","All","Motor vehicles",1444698.29,5628
"2019-01-23","All","Other",1232335.63,5783
"2019-01-23","All","Personal services",2351760.23,23014
"2019-01-23","All","Professional services",5229585.1,38013
"2019-01-23","All","Retail: Fuel stations",10624684.24,230520
"2019-01-23","All","Transport services",4177508.57,180029
"2019-01-23","E-comm","Retail: Food, beverage, tobacco",722268.83,4616
"2019-01-23","E-comm","Retail: Other goods",4411887.35999999,26263
"2019-01-23","POS","Retail: Food, beverage, tobacco",36798178.9,1059737
