"Date","Payment method","Merchant category","Amount CHF","Number of transactions"
"2019-01-01","Credit","Accommodation",11149168.46,30343
"2019-01-01","Credit","Food and beverage services",6291294.47,79263
"2019-01-01","Credit","Other",1930348.98,19823
"2019-01-01","Credit","Professional services",1517541.93,14169
"2019-01-01","Credit","Retail: Food, beverage, tobacco",1262344.87,45815
"2019-01-01","Credit","Retail: Fuel stations",1875579.77,39852
"2019-01-01","Credit","Retail: Other goods",5478592.43,37282
"2019-01-01","Credit","Transport services",4402561.23,107101
"2019-01-01","Debit","Accommodation",3372941.96,18754
"2019-01-01","Debit","Food and beverage services",5461509.28999999,111410
"2019-01-01","Debit","Other",1148293.46,18297
"2019-01-01","Debit","Professional services",264296.7,3050
"2019-01-01","Debit","Retail: Food, beverage, tobacco",2309201.33,102518
"2019-01-01","Debit","Retail: Fuel stations",5105081.34,123017
"2019-01-01","Debit","Retail: Other goods",1738601.02,23459
"2019-01-01","Debit","Transport services",2913511.11,44865
"2019-01-01","Mobile","Accommodation",7148.05,82
"2019-01-01","Mobile","Food and beverage services",26912.97,594
"2019-01-01","Mobile","Other",16491.86,261
"2019-01-01","Mobile","Professional services",14728.8,144
"2019-01-01","Mobile","Retail: Food, beverage, tobacco",11329.79,402
"2019-01-01","Mobile","Retail: Fuel stations",3116.9,113
"2019-01-01","Mobile","Retail: Other goods",401706.39,937
"2019-01-01","Mobile","Transport services",28204.9,382
"2019-01-02","Credit","Accommodation",11973039.42,24754
"2019-01-02","Credit","Food and beverage services",4748018.17999998,80158
"2019-01-02","Credit","Other",3445764.46,29864
"2019-01-02","Credit","Professional services",2938671.52,21940
"2019-01-02","Credit","Retail: Food, beverage, tobacco",6829481.60000001,161298
"2019-01-02","Credit","Retail: Fuel stations",2666541.9,51432
"2019-01-02","Credit","Retail: Other goods",23100009.5499999,135927
"2019-01-02","Credit","Transport services",4945890.46,111589
"2019-01-02","Debit","Accommodation",3241413.43,15361
"2019-01-02","Debit","Food and beverage services",4715768.19,125694
"2019-01-02","Debit","Other",3139673.13,37113
"2019-01-02","Debit","Professional services",947213.23,9700
"2019-01-02","Debit","Retail: Food, beverage, tobacco",19825839.19,480434
"2019-01-02","Debit","Retail: Fuel stations",7215343.65,157825
"2019-01-02","Debit","Retail: Other goods",26946863.31,276181
"2019-01-02","Debit","Transport services",1949556.59,39023
"2019-01-02","Mobile","Accommodation",8833.85,71
"2019-01-02","Mobile","Food and beverage services",20712.8,627
"2019-01-02","Mobile","Other",28256.95,438
"2019-01-02","Mobile","Professional services",17532,241
"2019-01-02","Mobile","Retail: Food, beverage, tobacco",65596.05,1725
"2019-01-02","Mobile","Retail: Fuel stations",5039,146
"2019-01-02","Mobile","Retail: Other goods",487199.75,1538
"2019-01-02","Mobile","Transport services",19368.26,391
"2019-01-03","Credit","Accommodation",9317418.68,29063
"2019-01-03","Credit","Food and beverage services",5103790.39000001,95447
"2019-01-03","Credit","Other",4302160.66,31756
"2019-01-03","Credit","Professional services",4238810.08,31741
"2019-01-03","Credit","Retail: Food, beverage, tobacco",10762123.39,242637
"2019-01-03","Credit","Retail: Fuel stations",2783534.16,51278
"2019-01-03","Credit","Retail: Other goods",30315729.9199999,202933
"2019-01-03","Credit","Transport services",5311901.7,131585
"2019-01-03","Debit","Accommodation",2285796.93,19695
"2019-01-03","Debit","Food and beverage services",5371759.76000001,156777
"2019-01-03","Debit","Other",5901170.55,48100
"2019-01-03","Debit","Professional services",2159050.95,17314
"2019-01-03","Debit","Retail: Food, beverage, tobacco",34034593.1099999,791675
"2019-01-03","Debit","Retail: Fuel stations",7477156.21,155921
"2019-01-03","Debit","Retail: Other goods",43807584.84,466205
"2019-01-03","Debit","Transport services",3415123.78,59508
"2019-01-03","Mobile","Accommodation",6340,108
"2019-01-03","Mobile","Food and beverage services",29254.03,1317
"2019-01-03","Mobile","Other",31139.25,430
"2019-01-03","Mobile","Professional services",30936.45,263
"2019-01-03","Mobile","Retail: Food, beverage, tobacco",98235.14,2698
"2019-01-03","Mobile","Retail: Fuel stations",4945,138
"2019-01-03","Mobile","Retail: Other goods",385426.58,1878
"2019-01-03","Mobile","Transport services",34424.77,647
"2019-01-04","Credit","Accommodation",10007078.58,28947
"2019-01-04","Credit","Food and beverage services",5851338.07,101714
"2019-01-04","Credit","Other",4481899.03,32350
"2019-01-04","Credit","Professional services",3943736.82,25389
"2019-01-04","Credit","Retail: Food, beverage, tobacco",12634474.65,256836
"2019-01-04","Credit","Retail: Fuel stations",3009404.6,55162
"2019-01-04","Credit","Retail: Other goods",29786837.3099998,185651
"2019-01-04","Credit","Transport services",4282812.22000001,133789
"2019-01-04","Debit","Accommodation",2781744.09,20649
"2019-01-04","Debit","Food and beverage services",6579148.17000001,179655
"2019-01-04","Debit","Other",6499381.35,56263
"2019-01-04","Debit","Professional services",2085798.32,17421
"2019-01-04","Debit","Retail: Food, beverage, tobacco",40099826.32,853679
"2019-01-04","Debit","Retail: Fuel stations",8161364.22,168447
"2019-01-04","Debit","Retail: Other goods",44690250.81,482989
"2019-01-04","Debit","Transport services",2369467.54,53194
"2019-01-04","Mobile","Accommodation",9523.7,108
"2019-01-04","Mobile","Food and beverage services",37340.39,1322
"2019-01-04","Mobile","Other",35746.9,553
"2019-01-04","Mobile","Professional services",22715.8,258
"2019-01-04","Mobile","Retail: Food, beverage, tobacco",103466.27,2741
"2019-01-04","Mobile","Retail: Fuel stations",5159.03,144
"2019-01-04","Mobile","Retail: Other goods",317898.93,1637
"2019-01-04","Mobile","Transport services",20854.01,594
"2019-01-05","Credit","Accommodation",9460418.71,21128
"2019-01-05","Credit","Food and beverage services",5633606.61999999,88181
"2019-01-05","Credit","Other",3689510.74,29382
"2019-01-05","Credit","Professional services",2360516.64,18157
"2019-01-05","Credit","Retail: Food, beverage, tobacco",15144371.98,277455
"2019-01-05","Credit","Retail: Fuel stations",2828961.69999999,51750
"2019-01-05","Credit","Retail: Other goods",30890310.5999999,194828
"2019-01-05","Credit","Transport services",3557967.29,122803
"2019-01-05","Debit","Accommodation",2617857.51,14522
"2019-01-05","Debit","Food and beverage services",6381787.51000001,156868
"2019-01-05","Debit","Other",4713014.51,46951
"2019-01-05","Debit","Professional services",1043117.26,10105
"2019-01-05","Debit","Retail: Food, beverage, tobacco",49791403.5900001,941039
"2019-01-05","Debit","Retail: Fuel stations",7322546.32,154389
"2019-01-05","Debit","Retail: Other goods",47326560.72,514346
"2019-01-05","Debit","Transport services",1463195.39,39884
"2019-01-05","Mobile","Accommodation",8348.85,33
"2019-01-05","Mobile","Food and beverage services",25648.6,693
"2019-01-05","Mobile","Other",33385.5,508
"2019-01-05","Mobile","Professional services",21447.35,233
"2019-01-05","Mobile","Retail: Food, beverage, tobacco",149961.45,3070
"2019-01-05","Mobile","Retail: Fuel stations",5199.06,150
"2019-01-05","Mobile","Retail: Other goods",277512.34,1656
"2019-01-05","Mobile","Transport services",15268.49,465
"2019-01-06","Credit","Accommodation",7773831.67,17216
"2019-01-06","Credit","Food and beverage services",3537450.71,64156
"2019-01-06","Credit","Other",2269737.14,20516
"2019-01-06","Credit","Professional services",2050540.24,16586
"2019-01-06","Credit","Retail: Food, beverage, tobacco",1577870.77,54163
"2019-01-06","Credit","Retail: Fuel stations",2560319.1,51486
"2019-01-06","Credit","Retail: Other goods",7191477.79,44093
"2019-01-06","Credit","Transport services",3841666.1,96272
"2019-01-06","Debit","Accommodation",1866304.53,10753
"2019-01-06","Debit","Food and beverage services",3838594.24,100398
"2019-01-06","Debit","Other",1519854.72,23998
"2019-01-06","Debit","Professional services",287781.97,3443
"2019-01-06","Debit","Retail: Food, beverage, tobacco",3089249.27,137075
"2019-01-06","Debit","Retail: Fuel stations",6893840.70000001,161859
"2019-01-06","Debit","Retail: Other goods",2070556.78,29421
"2019-01-06","Debit","Transport services",1111687.57,24925
"2019-01-06","Mobile","Accommodation",5977.6,41
"2019-01-06","Mobile","Food and beverage services",17859.25,511
"2019-01-06","Mobile","Other",17199.02,325
"2019-01-06","Mobile","Professional services",29087.1,251
"2019-01-06","Mobile","Retail: Food, beverage, tobacco",13581.19,533
"2019-01-06","Mobile","Retail: Fuel stations",5836.9,176
"2019-01-06","Mobile","Retail: Other goods",250898.47,1288
"2019-01-06","Mobile","Transport services",14993.5,315
"2019-01-07","Credit","Accommodation",5462445.35,23730
"2019-01-07","Credit","Food and beverage services",3172854.41,88367
"2019-01-07","Credit","Other",4172306.98,22887
"2019-01-07","Credit","Professional services",5058879.79999999,33602
"2019-01-07","Credit","Retail: Food, beverage, tobacco",9737117.64999997,248334
"2019-01-07","Credit","Retail: Fuel stations",2574241.51999999,48897
"2019-01-07","Credit","Retail: Other goods",19792925.4299999,144793
"2019-01-07","Credit","Transport services",4188827.01,126961
"2019-01-07","Debit","Accommodation",845167.91,16337
"2019-01-07","Debit","Food and beverage services",3442032.54,148250
"2019-01-07","Debit","Other",4965507.06,30007
"2019-01-07","Debit","Professional services",2145237.57,16145
"2019-01-07","Debit","Retail: Food, beverage, tobacco",31627064.5,864573
"2019-01-07","Debit","Retail: Fuel stations",7295649.55,158790
"2019-01-07","Debit","Retail: Other goods",27663449.5,343671
"2019-01-07","Debit","Transport services",1304916.37,33469
"2019-01-07","Mobile","Accommodation",3117.15,178
"2019-01-07","Mobile","Food and beverage services",33824.55,2063
"2019-01-07","Mobile","Other",37698.27,423
"2019-01-07","Mobile","Professional services",34831.9,346
"2019-01-07","Mobile","Retail: Food, beverage, tobacco",84916.28,3091
"2019-01-07","Mobile","Retail: Fuel stations",4463.78,176
"2019-01-07","Mobile","Retail: Other goods",443723.62,1573
"2019-01-07","Mobile","Transport services",20860.78,465
"2019-01-08","Credit","Accommodation",5088742.68,24597
"2019-01-08","Credit","Food and beverage services",3814408.49,95121
"2019-01-08","Credit","Other",4632298.51,25324
"2019-01-08","Credit","Professional services",4112238.46,28796
"2019-01-08","Credit","Retail: Food, beverage, tobacco",8777980.50000001,232189
"2019-01-08","Credit","Retail: Fuel stations",2515331.88,47757
"2019-01-08","Credit","Retail: Other goods",20140592.0699999,134080
"2019-01-08","Credit","Transport services",3315609.78,131277
"2019-01-08","Debit","Accommodation",796010.73,17468
"2019-01-08","Debit","Food and beverage services",4009821.49,164201
"2019-01-08","Debit","Other",5866647.45,38159
"2019-01-08","Debit","Professional services",1847190.08,14411
"2019-01-08","Debit","Retail: Food, beverage, tobacco",28524110.62,809641
"2019-01-08","Debit","Retail: Fuel stations",7137264.79999999,157754
"2019-01-08","Debit","Retail: Other goods",27799141.48,336045
"2019-01-08","Debit","Transport services",754818.51,30941
"2019-01-08","Mobile","Accommodation",2810.7,185
"2019-01-08","Mobile","Food and beverage services",34462.28,2171
"2019-01-08","Mobile","Other",36022.05,439
"2019-01-08","Mobile","Professional services",21722.65,313
"2019-01-08","Mobile","Retail: Food, beverage, tobacco",77184.69,2987
"2019-01-08","Mobile","Retail: Fuel stations",5121.26,159
"2019-01-08","Mobile","Retail: Other goods",487886.44,1692
"2019-01-08","Mobile","Transport services",11312.07,426
"2019-01-09","Credit","Accommodation",4986348.99,25694
"2019-01-09","Credit","Food and beverage services",4167192.31999999,99661
"2019-01-09","Credit","Other",4681808.51,25870
"2019-01-09","Credit","Professional services",4040338.94,26333
"2019-01-09","Credit","Retail: Food, beverage, tobacco",8727060.62,232468
"2019-01-09","Credit","Retail: Fuel stations",2586937.35,48915
"2019-01-09","Credit","Retail: Other goods",20756196.1799999,140338
"2019-01-09","Credit","Transport services",3476826.22,141539
"2019-01-09","Debit","Accommodation",852586.75,17825
"2019-01-09","Debit","Food and beverage services",4545085.06000001,176150
"2019-01-09","Debit","Other",6011462.57,40257
"2019-01-09","Debit","Professional services",1831515.59,15141
"2019-01-09","Debit","Retail: Food, beverage, tobacco",28592378.12,815456
"2019-01-09","Debit","Retail: Fuel stations",7396237.16,162894
"2019-01-09","Debit","Retail: Other goods",29225244.26,357414
"2019-01-09","Debit","Transport services",684083.93,32436
"2019-01-09","Mobile","Accommodation",8300.87,195
"2019-01-09","Mobile","Food and beverage services",33304.36,2075
"2019-01-09","Mobile","Other",41587.65,489
"2019-01-09","Mobile","Professional services",29322.75,336
"2019-01-09","Mobile","Retail: Food, beverage, tobacco",78830.29,2935
"2019-01-09","Mobile","Retail: Fuel stations",4312.51,166
"2019-01-09","Mobile","Retail: Other goods",261249.21,1492
"2019-01-09","Mobile","Transport services",13236.53,463
"2019-01-10","Credit","Accommodation",6142319.46,28209
"2019-01-10","Credit","Food and beverage services",4808011.07000002,109988
"2019-01-10","Credit","Other",4796863.57,25798
"2019-01-10","Credit","Professional services",4044321.14999999,25951
"2019-01-10","Credit","Retail: Food, beverage, tobacco",9294540.65999999,238626
"2019-01-10","Credit","Retail: Fuel stations",2714473.72,51823
"2019-01-10","Credit","Retail: Other goods",20607098.4099999,146663
"2019-01-10","Credit","Transport services",3633299.18000001,156087
"2019-01-10","Debit","Accommodation",1043317.24,19799
"2019-01-10","Debit","Food and beverage services",5142727.54000002,193732
"2019-01-10","Debit","Other",6213626.3,39746
