"Date","Agglomeration type","Merchant category","Amount CHF","Number of transactions"
"2019-01-01","9999","Food and beverage services",2610.45,59
"2019-01-01","9999","Retail: Fuel stations",18316.85,452
"2019-01-01","9999","Retail: Other goods",3558.2,36
"2019-01-01","Commuting zone","Accommodation",533644.31,1820
"2019-01-01","Commuting zone","Food and beverage services",754666.46,8026
"2019-01-01","Commuting zone","Other",119684.22,1720
"2019-01-01","Commuting zone","Retail: Food, beverage, tobacco",192426.95,6075
"2019-01-01","Commuting zone","Retail: Fuel stations",953114.7,20859
"2019-01-01","Commuting zone","Retail: Other goods",121785.1,1465
"2019-01-01","Commuting zone","Transport services",323846.79,4053
"2019-01-01","Municipality: core","Accommodation",2559190.75,5724
"2019-01-01","Municipality: core","Food and beverage services",1237920.94,14720
"2019-01-01","Municipality: core","Other",213453.3,1510
"2019-01-01","Municipality: core","Retail: Food, beverage, tobacco",405110.25,19018
"2019-01-01","Municipality: core","Retail: Fuel stations",458682.73,10315
"2019-01-01","Municipality: core","Retail: Other goods",712993.88,4351
"2019-01-01","Municipality: core","Transport services",610691.6,6336
"2019-01-01","Municipality: multiorientated","Accommodation",312199.39,944
"2019-01-01","Municipality: multiorientated","Food and beverage services",369159.87,3625
"2019-01-01","Municipality: multiorientated","Other",124316.85,1927
"2019-01-01","Municipality: multiorientated","Retail: Food, beverage, tobacco",68580.05,1611
"2019-01-01","Municipality: multiorientated","Retail: Fuel stations",544480.8,11542
"2019-01-01","Municipality: multiorientated","Retail: Other goods",32569.45,503
"2019-01-01","Municipality: multiorientated","Transport services",40080.64,784
"2019-01-01","Municipality: rural","Accommodation",6164557.15,21837
"2019-01-01","Municipality: rural","Food and beverage services",2897906.71,32703
"2019-01-01","Municipality: rural","Other",604221.09,5194
"2019-01-01","Municipality: rural","Retail: Food, beverage, tobacco",944071,24017
"2019-01-01","Municipality: rural","Retail: Fuel stations",1247104.12,24491
"2019-01-01","Municipality: rural","Retail: Other goods",1974159.08,15374
"2019-01-01","Municipality: rural","Transport services",3566353.61,40994
"2019-01-01","Principle core: city","Accommodation",3910086.46,13927
"2019-01-01","Principle core: city","Food and beverage services",4481684.58,87411
"2019-01-01","Principle core: city","Other",981362.16,15330
"2019-01-01","Principle core: city","Retail: Food, beverage, tobacco",1301552.32,73157
"2019-01-01","Principle core: city","Retail: Fuel stations",1619330.2,41700
"2019-01-01","Principle core: city","Retail: Other goods",1456557.19,11381
"2019-01-01","Principle core: city","Transport services",347418.97,15716
"2019-01-01","Principle core: other","Accommodation",594625.27,2910
"2019-01-01","Principle core: other","Food and beverage services",1398108.27,31652
"2019-01-01","Principle core: other","Other",513169.42,5075
"2019-01-01","Principle core: other","Retail: Food, beverage, tobacco",405065.48,18033
"2019-01-01","Principle core: other","Retail: Fuel stations",1557416.91,39083
"2019-01-01","Principle core: other","Retail: Other goods",844541.83,10702
"2019-01-01","Principle core: other","Transport services",319345.91,9095
"2019-01-01","Secondary core","Accommodation",167429.57,676
"2019-01-01","Secondary core","Food and beverage services",380384.85,7552
"2019-01-01","Secondary core","Other",212323.05,2835
"2019-01-01","Secondary core","Retail: Food, beverage, tobacco",131554.6,5620
"2019-01-01","Secondary core","Retail: Fuel stations",585171.3,14527
"2019-01-01","Secondary core","Retail: Other goods",27275.75,429
"2019-01-01","Secondary core","Transport services",14925.6,408
"2019-01-02","9999","Food and beverage services",2597.4,189
"2019-01-02","9999","Retail: Fuel stations",19420.86,450
"2019-01-02","9999","Retail: Other goods",6596.3,51
"2019-01-02","Commuting zone","Accommodation",460318.08,1466
"2019-01-02","Commuting zone","Food and beverage services",475466.26,8700
"2019-01-02","Commuting zone","Other",339441.75,3390
"2019-01-02","Commuting zone","Retail: Food, beverage, tobacco",1978652.75,40180
"2019-01-02","Commuting zone","Retail: Fuel stations",1453696.36,29056
"2019-01-02","Commuting zone","Retail: Other goods",1604346.52,16228
"2019-01-02","Commuting zone","Transport services",378335.44,4382
"2019-01-02","Municipality: core","Accommodation",2697625.44,4663
"2019-01-02","Municipality: core","Food and beverage services",926109.76,13078
"2019-01-02","Municipality: core","Other",407445.4,3261
"2019-01-02","Municipality: core","Retail: Food, beverage, tobacco",1907167.15,41203
"2019-01-02","Municipality: core","Retail: Fuel stations",619979.6,12808
"2019-01-02","Municipality: core","Retail: Other goods",4101663.37,27681
"2019-01-02","Municipality: core","Transport services",227942.85,3079
