"Date","Region","Canton","Amount CHF","Number of transactions"
"2019-01-01","9999","9999",24485.5,547
"2019-01-01","Central","LU",1708328.06,30504
"2019-01-01","Central","NW",442674.34,2536
"2019-01-01","Central","OW",899012.4,8799
"2019-01-01","Central","SZ",902325.77,11698
"2019-01-01","Central","UR",495149.48,4514
"2019-01-01","Central","ZG",304556.64,5599
"2019-01-01","Eastern","AI",79602,633
"2019-01-01","Eastern","AR",216783.09,1863
"2019-01-01","Eastern","GL",262325.14,4142
"2019-01-01","Eastern","GR",9115691.17999999,74622
"2019-01-01","Eastern","SG",1641737.97,26053
"2019-01-01","Eastern","SH",182676.33,4175
"2019-01-01","Eastern","TG",462951.51,7098
"2019-01-01","Espace Mittelland","BE",6540612.55,79565
"2019-01-01","Espace Mittelland","FR",754810.22,14048
"2019-01-01","Espace Mittelland","JU",124257.14,2351
"2019-01-01","Espace Mittelland","NE",382042.58,7228
"2019-01-01","Espace Mittelland","SO",492039.3,9454
"2019-01-01","Lake Geneva","GE",2775660.28,47641
"2019-01-01","Lake Geneva","VD",3434993.58,57120
"2019-01-01","Lake Geneva","VS",7316262.23,80738
"2019-01-01","Northwestern","AG",1401027.85,28234
"2019-01-01","Northwestern","BL",548329.99,11554
"2019-01-01","Northwestern","BS",878537.88,20361
"2019-01-01","Ticino","TI",1566003.76,20534
"2019-01-01","Zurich","ZH",6407910.21,137693
"2019-01-02","9999","9999",28614.56,690
"2019-01-02","Central","LU",7371594.06,90349
"2019-01-02","Central","NW",761200.95,7982
"2019-01-02","Central","OW",952685.62,8230
"2019-01-02","Central","SZ",2795825.41,35529
"2019-01-02","Central","UR",750027.25,6880
"2019-01-02","Central","ZG",1512730.55,23924
"2019-01-02","Eastern","AI",135785.01,1466
"2019-01-02","Eastern","AR",307501.02,4336
"2019-01-02","Eastern","GL",412313.63,6426
"2019-01-02","Eastern","GR",12845032.31,100699
"2019-01-02","Eastern","SG",8700149.32,111138
"2019-01-02","Eastern","SH",614610.92,11486
"2019-01-02","Eastern","TG",495941.06,10580
"2019-01-02","Espace Mittelland","BE",7511708.17,101510
"2019-01-02","Espace Mittelland","FR",3652564.67,55965
"2019-01-02","Espace Mittelland","JU",147271.19,3274
"2019-01-02","Espace Mittelland","NE",2005842.75,34015
"2019-01-02","Espace Mittelland","SO",1933207.23,32329
"2019-01-02","Lake Geneva","GE",10330626.27,154901
"2019-01-02","Lake Geneva","VD",4148270.93,74555
"2019-01-02","Lake Geneva","VS",13216870.76,147064
"2019-01-02","Northwestern","AG",4580753.59,79124
"2019-01-02","Northwestern","BL",3429338.96,50718
"2019-01-02","Northwestern","BS",3869658.5,68337
"2019-01-02","Ticino","TI",6199541.58,74137
"2019-01-02","Zurich","ZH",18116909.23,322304
"2019-01-03","9999","9999",31780.8,869
"2019-01-03","Central","LU",7618616.63,108671
"2019-01-03","Central","NW",780196.63,9749
"2019-01-03","Central","OW",1038724.54,13087
"2019-01-03","Central","SZ",2560457.66,34969
"2019-01-03","Central","UR",672652.73,7515
"2019-01-03","Central","ZG",2280881.59,36459
"2019-01-03","Eastern","AI",155216.28,1687
"2019-01-03","Eastern","AR",378762.91,5027
"2019-01-03","Eastern","GL",550720.45,8569
"2019-01-03","Eastern","GR",11628227.31,104831
"2019-01-03","Eastern","SG",8276753.15999999,113392
"2019-01-03","Eastern","SH",981646.24,17125
"2019-01-03","Eastern","TG",3140454.65,47685
"2019-01-03","Espace Mittelland","BE",20651266.28,288214
"2019-01-03","Espace Mittelland","FR",4086308.52,62298
"2019-01-03","Espace Mittelland","JU",939498.29,13651
"2019-01-03","Espace Mittelland","NE",2352953.74,39758
"2019-01-03","Espace Mittelland","SO",3048374.43,49829
"2019-01-03","Lake Geneva","GE",11784894.15,171177
"2019-01-03","Lake Geneva","VD",17230933.57,249295
"2019-01-03","Lake Geneva","VS",11904749.98,135419
"2019-01-03","Northwestern","AG",9703794.74999999,142627
"2019-01-03","Northwestern","BL",3191110.01,49189
"2019-01-03","Northwestern","BS",3615797.25,67813
"2019-01-03","Ticino","TI",6137542.37000001,73605
"2019-01-03","Zurich","ZH",28159311.4900001,501468
"2019-01-04","9999","9999",41247.41,928
"2019-01-04","Central","LU",8740841.94000001,121954
"2019-01-04","Central","NW",960616.89,11219
"2019-01-04","Central","OW",1031456.91,12180
"2019-01-04","Central","SZ",3088511.07,40410
"2019-01-04","Central","UR",785772.150000001,7912
"2019-01-04","Central","ZG",2797839.5,41200
"2019-01-04","Eastern","AI",184761.85,1989
"2019-01-04","Eastern","AR",469919.64,6214
"2019-01-04","Eastern","GL",578922.52,8930
"2019-01-04","Eastern","GR",12262355.24,102012
"2019-01-04","Eastern","SG",9254379.62000001,125854
"2019-01-04","Eastern","SH",1071977.59,18628
"2019-01-04","Eastern","TG",3338229.19,49976
"2019-01-04","Espace Mittelland","BE",20811060.34,289320
"2019-01-04","Espace Mittelland","FR",4656687.05,68771
"2019-01-04","Espace Mittelland","JU",911450.84,13265
"2019-01-04","Espace Mittelland","NE",2583489.92,42453
"2019-01-04","Espace Mittelland","SO",3252738.28,51769
"2019-01-04","Lake Geneva","GE",12262255,180110
"2019-01-04","Lake Geneva","VD",17405745.12,253451
"2019-01-04","Lake Geneva","VS",12889236.33,139377
"2019-01-04","Northwestern","AG",10564332.08,153867
"2019-01-04","Northwestern","BL",3913439.14,57625
"2019-01-04","Northwestern","BS",4055786.13,73769
"2019-01-04","Ticino","TI",6136167.03,74084
"2019-01-04","Zurich","ZH",31257870.59,546976
"2019-01-05","9999","9999",40992.49,811
"2019-01-05","Central","LU",8645958.39,118661
"2019-01-05","Central","NW",994998.69,11739
"2019-01-05","Central","OW",927078.45,9393
"2019-01-05","Central","SZ",3195761.51,40231
"2019-01-05","Central","UR",638392.46,7202
"2019-01-05","Central","ZG",3035612.99,41747
"2019-01-05","Eastern","AI",180336.99,1945
"2019-01-05","Eastern","AR",485174,5897
"2019-01-05","Eastern","GL",580856.69,8515
"2019-01-05","Eastern","GR",10656952.63,82293
"2019-01-05","Eastern","SG",9499369.51999999,123850
"2019-01-05","Eastern","SH",1231903.86,20143
"2019-01-05","Eastern","TG",3769170.6,55027
"2019-01-05","Espace Mittelland","BE",20590518.7,288021
"2019-01-05","Espace Mittelland","FR",4465311.73999999,66600
"2019-01-05","Espace Mittelland","JU",958354.49,13804
"2019-01-05","Espace Mittelland","NE",3151824.97,48364
"2019-01-05","Espace Mittelland","SO",3901571.02,58779
"2019-01-05","Lake Geneva","GE",13616706.98,185415
"2019-01-05","Lake Geneva","VD",19230759.73,274982
"2019-01-05","Lake Geneva","VS",12200882.7,128346
"2019-01-05","Northwestern","AG",12421123.13,174865
"2019-01-05","Northwestern","BL",4544301.42,63897
"2019-01-05","Northwestern","BS",4581210.64,75216
"2019-01-05","Ticino","TI",6319177.51999999,80028
"2019-01-05","Zurich","ZH",35786298.83,556554
"2019-01-06","9999","9999",28007.4,689
"2019-01-06","Central","LU",1489887.41,30698
"2019-01-06","Central","NW",226876.2,2595
"2019-01-06","Central","OW",437727.4,4106
"2019-01-06","Central","SZ",703306.52,10606
"2019-01-06","Central","UR",431725.92,2371
"2019-01-06","Central","ZG",376965.69,8987
"2019-01-06","Eastern","AI",29643.35,365
"2019-01-06","Eastern","AR",142290.32,1637
"2019-01-06","Eastern","GL",135908.11,2994
"2019-01-06","Eastern","GR",5302269.76999999,33460
"2019-01-06","Eastern","SG",1382210,25687
"2019-01-06","Eastern","SH",220104.11,5477
"2019-01-06","Eastern","TG",456249.5,9914
"2019-01-06","Espace Mittelland","BE",4339843.04,75822
"2019-01-06","Espace Mittelland","FR",894456.35,19724
"2019-01-06","Espace Mittelland","JU",137399.07,3078
"2019-01-06","Espace Mittelland","NE",422115.71,9913
"2019-01-06","Espace Mittelland","SO",517252.18,12239
"2019-01-06","Lake Geneva","GE",2997436.45,63731
"2019-01-06","Lake Geneva","VD",3178076.15,67264
"2019-01-06","Lake Geneva","VS",4988308.23000001,50903
"2019-01-06","Northwestern","AG",1649607.18,38683
"2019-01-06","Northwestern","BL",616733.5,14905
"2019-01-06","Northwestern","BS",801201.14,22954
"2019-01-06","Ticino","TI",2522830.17,32007
"2019-01-06","Zurich","ZH",7120544.8,175074
"2019-01-07","9999","9999",28426.2,1119
"2019-01-07","Central","LU",5268116.5,94979
"2019-01-07","Central","NW",556594.85,8223
"2019-01-07","Central","OW",402966.16,6372
"2019-01-07","Central","SZ",2015475.45,30653
"2019-01-07","Central","UR",452830.93,5414
"2019-01-07","Central","ZG",2093377.16,40456
"2019-01-07","Eastern","AI",82842.22,1245
"2019-01-07","Eastern","AR",311572.93,4967
"2019-01-07","Eastern","GL",348255.29,6228
"2019-01-07","Eastern","GR",5224746.11999999,54156
"2019-01-07","Eastern","SG",5955698.63,100558
"2019-01-07","Eastern","SH",784717.94,15921
"2019-01-07","Eastern","TG",2418591.01,42764
"2019-01-07","Espace Mittelland","BE",12652775.58,235424
"2019-01-07","Espace Mittelland","FR",3307431.49,58021
"2019-01-07","Espace Mittelland","JU",648292.54,11268
"2019-01-07","Espace Mittelland","NE",1920635.16,39042
"2019-01-07","Espace Mittelland","SO",2185524.27,43445
"2019-01-07","Lake Geneva","GE",10689153.12,191702
"2019-01-07","Lake Geneva","VD",12564206.4,225985
"2019-01-07","Lake Geneva","VS",6436175.81999999,86225
"2019-01-07","Northwestern","AG",6961266.44000001,128670
"2019-01-07","Northwestern","BL",2735887.85,50456
"2019-01-07","Northwestern","BS",3331309.22,71117
"2019-01-07","Ticino","TI",4674348.2,62407
"2019-01-07","Zurich","ZH",24015346.16,550837
"2019-01-08","9999","9999",29696.72,1118
"2019-01-08","Central","LU",5505450.76,94201
"2019-01-08","Central","NW",538100.25,8213
"2019-01-08","Central","OW",353991.1,5539
"2019-01-08","Central","SZ",1948884.04,29148
"2019-01-08","Central","UR",387433.15,5058
"2019-01-08","Central","ZG",2099237.85,40062
"2019-01-08","Eastern","AI",102536.31,1325
"2019-01-08","Eastern","AR",336339.56,4979
"2019-01-08","Eastern","GL",341804.84,5893
"2019-01-08","Eastern","GR",4198993.22,47415
"2019-01-08","Eastern","SG",6045218.38000001,100288
"2019-01-08","Eastern","SH",815656.14,15915
"2019-01-08","Eastern","TG",2449043.26,42809
"2019-01-08","Espace Mittelland","BE",12865267.47,232871
"2019-01-08","Espace Mittelland","FR",3208747.07,55910
