"Date","Region","Merchant category","Amount CHF","Number of transactions"
"2019-01-01","9999","Food and beverage services",2610.45,59
"2019-01-01","9999","Retail: Fuel stations",18316.85,452
"2019-01-01","9999","Retail: Other goods",3558.2,36
"2019-01-01","Central","Accommodation",1745541.93,6929
"2019-01-01","Central","Food and beverage services",910107.02,14069
"2019-01-01","Central","Other",252372.59,2621
"2019-01-01","Central","Retail: Food, beverage, tobacco",216945.68,10780
"2019-01-01","Central","Retail: Fuel stations",716947.33,16023
"2019-01-01","Central","Retail: Other goods",288739.09,3649
"2019-01-01","Central","Transport services",621393.05,9579
"2019-01-01","Eastern","Accommodation",4360227.66,12588
"2019-01-01","Eastern","Food and beverage services",2108640.96,26288
"2019-01-01","Eastern","Other",528374.09,4847
"2019-01-01","Eastern","Retail: Food, beverage, tobacco",518092.81,16613
"2019-01-01","Eastern","Retail: Fuel stations",1205562.6,25557
"2019-01-01","Eastern","Retail: Other goods",1037778.11,7792
"2019-01-01","Eastern","Transport services",2203090.99,24901
"2019-01-01","Espace Mittelland","Accommodation",2210380.61,7326
"2019-01-01","Espace Mittelland","Food and beverage services",1736750.77,23689
"2019-01-01","Espace Mittelland","Other",320548.61,4704
"2019-01-01","Espace Mittelland","Retail: Food, beverage, tobacco",540570.56,29533
"2019-01-01","Espace Mittelland","Retail: Fuel stations",1463875.24,33378
"2019-01-01","Espace Mittelland","Retail: Other goods",1441272.4,5418
"2019-01-01","Espace Mittelland","Transport services",580363.6,8598
"2019-01-01","Lake Geneva","Accommodation",3802355.32,13445
"2019-01-01","Lake Geneva","Food and beverage services",3510139.72,57066
"2019-01-01","Lake Geneva","Other",700906.33,9137
"2019-01-01","Lake Geneva","Retail: Food, beverage, tobacco",1089624.99,34695
"2019-01-01","Lake Geneva","Retail: Fuel stations",1441878.34,34977
"2019-01-01","Lake Geneva","Retail: Other goods",1529753.36,13820
"2019-01-01","Lake Geneva","Transport services",1452258.03,22359
"2019-01-01","Northwestern","Accommodation",399704.7,1687
"2019-01-01","Northwestern","Food and beverage services",776713.7,13797
"2019-01-01","Northwestern","Other",241196.67,4241
"2019-01-01","Northwestern","Retail: Food, beverage, tobacco",289271.46,13684
"2019-01-01","Northwestern","Retail: Fuel stations",836629.22,20213
"2019-01-01","Northwestern","Retail: Other goods",88538.25,1856
"2019-01-01","Northwestern","Transport services",195841.72,4671
"2019-01-01","Ticino","Accommodation",511156.48,1403
"2019-01-01","Ticino","Food and beverage services",358184.04,4563
"2019-01-01","Ticino","Other",204526.66,1828
"2019-01-01","Ticino","Retail: Food, beverage, tobacco",35612.5,1813
"2019-01-01","Ticino","Retail: Fuel stations",408126.18,9183
"2019-01-01","Ticino","Retail: Other goods",14135.1,227
"2019-01-01","Ticino","Transport services",34262.8,1517
"2019-01-01","Zurich","Accommodation",1212366.2,4460
"2019-01-01","Zurich","Food and beverage services",2119295.47,46217
"2019-01-01","Zurich","Other",520605.14,6213
"2019-01-01","Zurich","Retail: Food, beverage, tobacco",758242.65,40413
"2019-01-01","Zurich","Retail: Fuel stations",892281.85,23186
"2019-01-01","Zurich","Retail: Other goods",769665.97,11443
"2019-01-01","Zurich","Transport services",135452.93,5761
"2019-01-02","9999","Food and beverage services",2597.4,189
"2019-01-02","9999","Retail: Fuel stations",19420.86,450
"2019-01-02","9999","Retail: Other goods",6596.3,51
"2019-01-02","Central","Accommodation",1595500.46,4935
"2019-01-02","Central","Food and beverage services",624109.6,14591
"2019-01-02","Central","Other",614008.31,5558
"2019-01-02","Central","Retail: Food, beverage, tobacco",3271890.46,71797
"2019-01-02","Central","Retail: Fuel stations",933163.199999999,18507
"2019-01-02","Central","Retail: Other goods",6835208.17999999,51123
"2019-01-02","Central","Transport services",270183.63,6383
"2019-01-02","Eastern","Accommodation",5213235.38,9043
"2019-01-02","Eastern","Food and beverage services",1250751.94,21909
"2019-01-02","Eastern","Other",1116165.69,10032
"2019-01-02","Eastern","Retail: Food, beverage, tobacco",4756311.34,95229
"2019-01-02","Eastern","Retail: Fuel stations",1611941.7,31393
"2019-01-02","Eastern","Retail: Other goods",8877756.84999999,69041
"2019-01-02","Eastern","Transport services",685170.37,9484
"2019-01-02","Espace Mittelland","Accommodation",2201237.97,5684
"2019-01-02","Espace Mittelland","Food and beverage services",1374972.19,28426
"2019-01-02","Espace Mittelland","Other",661492.31,9244
