"Date","Payment method","Cardholder origin","Channel","Amount CHF","Number of transactions"
"2019-01-01","Credit","Domestic","E-comm",5967672.96,109769
"2019-01-01","Credit","Domestic","POS",13743412.04,138324
"2019-01-01","Credit","Foreign","E-comm",1257819.8,11471
"2019-01-01","Credit","Foreign","POS",12938527.34,114084
"2019-01-01","Debit","Domestic","All",20364943.86,416789
"2019-01-01","Debit","Foreign","All",1948492.35,28581
"2019-01-01","Mobile","all","all",509639.66,2915
"2019-01-02","Credit","Domestic","E-comm",9424685.07,127256
"2019-01-02","Credit","Domestic","POS",28963971.08,316801
"2019-01-02","Credit","Foreign","E-comm",2828521.69,16302
"2019-01-02","Credit","Foreign","POS",19430239.25,156603
"2019-01-02","Debit","Domestic","All",64742285.27,1096825
"2019-01-02","Debit","Foreign","All",3239385.45,44506
"2019-01-02","Mobile","all","all",652538.66,5177
"2019-01-03","Credit","Domestic","E-comm",11060496.77,165362
"2019-01-03","Credit","Domestic","POS",38347910,471934
"2019-01-03","Credit","Foreign","E-comm",3033544.57,17809
"2019-01-03","Credit","Foreign","POS",19693517.64,161335
"2019-01-03","Debit","Domestic","All",101229970,1670512
"2019-01-03","Debit","Foreign","All",3222266.13,44683
"2019-01-03","Mobile","all","all",620701.22,7479
"2019-01-04","Credit","Domestic","E-comm",9478645.89,146990
"2019-01-04","Credit","Domestic","POS",42483188.3,504985
"2019-01-04","Credit","Foreign","E-comm",2848542.81,16455
"2019-01-04","Credit","Foreign","POS",19187204.2799999,151408
"2019-01-04","Debit","Domestic","All",109924507.39,1789454
"2019-01-04","Debit","Foreign","All",3342473.43,42843
"2019-01-04","Mobile","all","all",552705.03,7357
"2019-01-05","Credit","Domestic","E-comm",7374728.21,131886
"2019-01-05","Credit","Domestic","POS",47153645.97,513940
"2019-01-05","Credit","Foreign","E-comm",1562473.59,12661
"2019-01-05","Credit","Foreign","POS",17474816.51,145197
"2019-01-05","Debit","Domestic","All",117779358.5,1840683
"2019-01-05","Debit","Foreign","All",2880124.31,37421
"2019-01-05","Mobile","all","all",536771.64,6808
"2019-01-06","Credit","Domestic","E-comm",8424017.24,117999
"2019-01-06","Credit","Domestic","POS",10081417.45,143192
"2019-01-06","Credit","Foreign","E-comm",1642104.62,13853
"2019-01-06","Credit","Foreign","POS",10655354.21,89444
"2019-01-06","Debit","Domestic","All",19229481.04,473420
"2019-01-06","Debit","Foreign","All",1448388.74,18452
"2019-01-06","Mobile","all","all",355433.03,3440
"2019-01-07","Credit","Domestic","E-comm",11952067.77,166493
"2019-01-07","Credit","Domestic","POS",26244896.78,433628
"2019-01-07","Credit","Foreign","E-comm",3884303.84999999,21026
"2019-01-07","Credit","Foreign","POS",12078329.7500001,116424
"2019-01-07","Debit","Domestic","All",77997440.56,1589944
"2019-01-07","Debit","Foreign","All",1291584.44,21298
"2019-01-07","Mobile","all","all",663436.33,8315
"2019-01-08","Credit","Domestic","E-comm",10714071.99,160845
"2019-01-08","Credit","Domestic","POS",26768063.08,432726
"2019-01-08","Credit","Foreign","E-comm",3642395.84,19561
"2019-01-08","Credit","Foreign","POS",11272671.46,106009
"2019-01-08","Debit","Domestic","All",75647343.1799999,1549266
"2019-01-08","Debit","Foreign","All",1087661.98,19354
"2019-01-08","Mobile","all","all",676522.14,8372
"2019-01-09","Credit","Domestic","E-comm",10346581.96,166653
"2019-01-09","Credit","Domestic","POS",28187819.92,446480
"2019-01-09","Credit","Foreign","E-comm",3424972.14,19021
"2019-01-09","Credit","Foreign","POS",11463335.1100001,108664
"2019-01-09","Debit","Domestic","All",78105506.56,1598668
"2019-01-09","Debit","Foreign","All",1033086.88,18905
"2019-01-09","Mobile","all","all",470144.17,8151
"2019-01-10","Credit","Domestic","E-comm",10281686.76,183978
"2019-01-10","Credit","Domestic","POS",29799980.79,463487
"2019-01-10","Credit","Foreign","E-comm",3801661.08,19614
"2019-01-10","Credit","Foreign","POS",12157598.59,116066
"2019-01-10","Debit","Domestic","All",79472375.75,1630502
"2019-01-10","Debit","Foreign","All",1172978.62,20282
"2019-01-10","Mobile","all","all",526521.44,8343
"2019-01-11","Credit","Domestic","E-comm",9186853.73999999,179145
"2019-01-11","Credit","Domestic","POS",38941302.25,546876
"2019-01-11","Credit","Foreign","E-comm",3437236.47,19109
"2019-01-11","Credit","Foreign","POS",13993002.9100001,125338
"2019-01-11","Debit","Domestic","All",104648856.01,1936240
"2019-01-11","Debit","Foreign","All",1577990.1,24253
"2019-01-11","Mobile","all","all",652836.06,8758
"2019-01-12","Credit","Domestic","E-comm",6958828.05,145392
"2019-01-12","Credit","Domestic","POS",52515352.1,593352
"2019-01-12","Credit","Foreign","E-comm",1586938.93,13132
"2019-01-12","Credit","Foreign","POS",13842767.58,130925
"2019-01-12","Debit","Domestic","All",130523009.99,2051429
"2019-01-12","Debit","Foreign","All",2025937.54,29018
"2019-01-12","Mobile","all","all",698938.94,7324
"2019-01-13","Credit","Domestic","E-comm",8288628.35000001,124012
"2019-01-13","Credit","Domestic","POS",10022474.38,151845
"2019-01-13","Credit","Foreign","E-comm",1805860.49,14226
"2019-01-13","Credit","Foreign","POS",7998010.83000003,83134
"2019-01-13","Debit","Domestic","All",19096386.83,486280
"2019-01-13","Debit","Foreign","All",913538.11,15590
"2019-01-13","Mobile","all","all",416742.27,3537
