"X","FINALPROCESSINGDATE","TYPE","OURCODE","OURCATEGORY","STADTCHARAKTER","COUNTRY","NTRX","ISSUINGBASEAMOUNT","ATV"
0,"01-APR-20","ATM Deposits",999,"Other",0,"CHE",1663,2148916,1292.19
1,"01-APR-20","ATM Deposits",999,"Other",1,"CHE",6506,8811505,1354.37
2,"01-APR-20","ATM Deposits",999,"Other",2,"CHE",4079,5740727,1407.39
3,"01-APR-20","ATM Deposits",999,"Other",3,"CHE",1276,2082736,1632.24
4,"01-APR-20","ATM Deposits",999,"Other",4,"CHE",1320,1979630,1499.72
5,"01-APR-20","ATM Deposits",999,"Other",5,"CHE",880,1263767,1436.1
6,"01-APR-20","ATM Deposits",999,"Other",6,"CHE",1254,1887873,1505.48
7,"01-APR-20","ATM Deposits",999,"Other",99,"CHE",108,145202,1344.46
8,"01-APR-20","ATM Withdraws",999,"Other",0,"CHE",22181,12583445,567.31
9,"01-APR-20","ATM Withdraws",999,"Other",1,"CHE",54084,37299556,689.66
10,"01-APR-20","ATM Withdraws",999,"Other",2,"CHE",39012,30297474,776.62
11,"01-APR-20","ATM Withdraws",999,"Other",3,"CHE",11747,8733721,743.49
12,"01-APR-20","ATM Withdraws",999,"Other",4,"CHE",16000,9966735,622.92
13,"01-APR-20","ATM Withdraws",999,"Other",5,"CHE",11085,6099653,550.26
14,"01-APR-20","ATM Withdraws",999,"Other",6,"CHE",9274,5570849,600.7
15,"01-APR-20","ATM Withdraws",999,"Other",99,"CHE",338,332173,982.76
16,"01-APR-21","ATM Deposits",999,"Other",0,"CHE",2333,3909854,1675.89
17,"01-APR-21","ATM Deposits",999,"Other",1,"CHE",11755,16677560,1418.76
18,"01-APR-21","ATM Deposits",999,"Other",2,"CHE",5729,9572692,1670.92
19,"01-APR-21","ATM Deposits",999,"Other",3,"CHE",1795,3056806,1702.96
20,"01-APR-21","ATM Deposits",999,"Other",4,"CHE",1813,3365582,1856.36
21,"01-APR-21","ATM Deposits",999,"Other",5,"CHE",1175,2009931,1710.58
22,"01-APR-21","ATM Deposits",999,"Other",6,"CHE",1794,3232901,1802.06
23,"01-APR-21","ATM Withdraws",999,"Other",0,"CHE",36536,16797679,459.76
24,"01-APR-21","ATM Withdraws",999,"Other",1,"CHE",105615,53821927,509.6
25,"01-APR-21","ATM Withdraws",999,"Other",2,"CHE",61185,38310837,626.15
26,"01-APR-21","ATM Withdraws",999,"Other",3,"CHE",18309,11003780,601
27,"01-APR-21","ATM Withdraws",999,"Other",4,"CHE",25274,13180644,521.51
28,"01-APR-21","ATM Withdraws",999,"Other",5,"CHE",17537,8229055,469.24
29,"01-APR-21","ATM Withdraws",999,"Other",6,"CHE",15988,7586762,474.53
30,"01-AUG-20","ATM Deposits",999,"Other",0,"CHE",1139,1965485,1725.62
31,"01-AUG-20","ATM Deposits",999,"Other",1,"CHE",5079,6585834,1296.68
32,"01-AUG-20","ATM Deposits",999,"Other",2,"CHE",2757,3777679,1370.21
33,"01-AUG-20","ATM Deposits",999,"Other",3,"CHE",762,1014962,1331.97
34,"01-AUG-20","ATM Deposits",999,"Other",4,"CHE",904,1384365,1531.38
35,"01-AUG-20","ATM Deposits",999,"Other",5,"CHE",617,927309,1502.93
36,"01-AUG-20","ATM Deposits",999,"Other",6,"CHE",803,1248982,1555.39
37,"01-AUG-20","ATM Deposits",999,"Other",99,"CHE",63,93941,1491.13
38,"01-AUG-20","ATM Withdraws",999,"Other",0,"CHE",31348,8754136,279.26
39,"01-AUG-20","ATM Withdraws",999,"Other",1,"CHE",64942,19022938,292.92
40,"01-AUG-20","ATM Withdraws",999,"Other",2,"CHE",37116,13504003,363.83
41,"01-AUG-20","ATM Withdraws",999,"Other",3,"CHE",10800,3969192,367.52
42,"01-AUG-20","ATM Withdraws",999,"Other",4,"CHE",17943,5458458,304.21
43,"01-AUG-20","ATM Withdraws",999,"Other",5,"CHE",12802,3544080,276.84
44,"01-AUG-20","ATM Withdraws",999,"Other",6,"CHE",11056,3178778,287.52
45,"01-AUG-20","ATM Withdraws",999,"Other",99,"CHE",313,111705,356.88
46,"01-DEC-20","ATM Deposits",999,"Other",0,"CHE",1976,3280437,1660.14
47,"01-DEC-20","ATM Deposits",999,"Other",1,"CHE",11089,14874164,1341.34
48,"01-DEC-20","ATM Deposits",999,"Other",2,"CHE",5163,7695953,1490.6
49,"01-DEC-20","ATM Deposits",999,"Other",3,"CHE",1617,2580541,1595.88
50,"01-DEC-20","ATM Deposits",999,"Other",4,"CHE",1633,2821257,1727.65
51,"01-DEC-20","ATM Deposits",999,"Other",5,"CHE",1036,1571548,1516.94
52,"01-DEC-20","ATM Deposits",999,"Other",6,"CHE",1599,2468195,1543.59
53,"01-DEC-20","ATM Deposits",999,"Other",99,"CHE",87,108768,1250.21
54,"01-DEC-20","ATM Withdraws",999,"Other",0,"CHE",28117,15052515,535.35
55,"01-DEC-20","ATM Withdraws",999,"Other",1,"CHE",91359,53270202,583.09
56,"01-DEC-20","ATM Withdraws",999,"Other",2,"CHE",51827,36926051,712.49
57,"01-DEC-20","ATM Withdraws",999,"Other",3,"CHE",15922,11118817,698.33
58,"01-DEC-20","ATM Withdraws",999,"Other",4,"CHE",20459,12093587,591.11
59,"01-DEC-20","ATM Withdraws",999,"Other",5,"CHE",13300,7053856,530.37
60,"01-DEC-20","ATM Withdraws",999,"Other",6,"CHE",12725,7196726,565.56
61,"01-DEC-20","ATM Withdraws",999,"Other",99,"CHE",468,408326,872.49
62,"01-FEB-20","ATM Deposits",999,"Other",0,"CHE",2044,3602414,1762.43
63,"01-FEB-20","ATM Deposits",999,"Other",1,"CHE",10417,13406891,1287.02
64,"01-FEB-20","ATM Deposits",999,"Other",2,"CHE",4805,6783033,1411.66
65,"01-FEB-20","ATM Deposits",999,"Other",3,"CHE",1567,2104000,1342.69
66,"01-FEB-20","ATM Deposits",999,"Other",4,"CHE",1432,1989902,1389.6
67,"01-FEB-20","ATM Deposits",999,"Other",5,"CHE",983,1483195,1508.85
68,"01-FEB-20","ATM Deposits",999,"Other",6,"CHE",1519,2444437,1609.24
69,"01-FEB-20","ATM Deposits",999,"Other",99,"CHE",74,93315,1261.01
70,"01-FEB-20","ATM Withdraws",999,"Other",0,"CHE",57943,17530854,302.55
71,"01-FEB-20","ATM Withdraws",999,"Other",1,"CHE",149941,48759140,325.19
72,"01-FEB-20","ATM Withdraws",999,"Other",2,"CHE",80735,32992580,408.65
73,"01-FEB-20","ATM Withdraws",999,"Other",3,"CHE",25101,9987666,397.9
74,"01-FEB-20","ATM Withdraws",999,"Other",4,"CHE",37340,12733704,341.02
75,"01-FEB-20","ATM Withdraws",999,"Other",5,"CHE",25543,8092032,316.8
76,"01-FEB-20","ATM Withdraws",999,"Other",6,"CHE",22959,7338162,319.62
77,"01-FEB-20","ATM Withdraws",999,"Other",99,"CHE",579,296007,511.24
78,"01-FEB-21","ATM Deposits",999,"Other",0,"CHE",2406,3582355,1488.93
79,"01-FEB-21","ATM Deposits",999,"Other",1,"CHE",10411,13434082,1290.37
80,"01-FEB-21","ATM Deposits",999,"Other",2,"CHE",5823,8744193,1501.66
81,"01-FEB-21","ATM Deposits",999,"Other",3,"CHE",1665,2443298,1467.45
82,"01-FEB-21","ATM Deposits",999,"Other",4,"CHE",1955,3166671,1619.78
83,"01-FEB-21","ATM Deposits",999,"Other",5,"CHE",1130,1568654,1388.19
84,"01-FEB-21","ATM Deposits",999,"Other",6,"CHE",1844,2777617,1506.3
85,"01-FEB-21","ATM Deposits",999,"Other",99,"CHE",98,187111,1909.3
86,"01-FEB-21","ATM Withdraws",999,"Other",0,"CHE",25310,13669624,540.09
87,"01-FEB-21","ATM Withdraws",999,"Other",1,"CHE",74043,45665341,616.74
88,"01-FEB-21","ATM Withdraws",999,"Other",2,"CHE",44388,31817344,716.8
89,"01-FEB-21","ATM Withdraws",999,"Other",3,"CHE",13154,9225230,701.33
90,"01-FEB-21","ATM Withdraws",999,"Other",4,"CHE",18030,10957957,607.76
91,"01-FEB-21","ATM Withdraws",999,"Other",5,"CHE",11796,6484968,549.76
92,"01-FEB-21","ATM Withdraws",999,"Other",6,"CHE",10866,6309802,580.69
93,"01-FEB-21","ATM Withdraws",999,"Other",99,"CHE",412,341180,828.11
94,"01-JAN-20","ATM Deposits",999,"Other",0,"CHE",932,2088624,2241.01
95,"01-JAN-20","ATM Deposits",999,"Other",1,"CHE",3953,6153299,1556.61
96,"01-JAN-20","ATM Deposits",999,"Other",2,"CHE",2162,3759923,1739.09
97,"01-JAN-20","ATM Deposits",999,"Other",3,"CHE",580,1054085,1817.39
98,"01-JAN-20","ATM Deposits",999,"Other",4,"CHE",611,1068767,1749.21
99,"01-JAN-20","ATM Deposits",999,"Other",5,"CHE",438,731554,1670.21
100,"01-JAN-20","ATM Deposits",999,"Other",6,"CHE",678,1168882,1724.01
101,"01-JAN-20","ATM Withdraws",999,"Other",0,"CHE",19437,5189122,266.97
102,"01-JAN-20","ATM Withdraws",999,"Other",1,"CHE",39882,10826141,271.45
103,"01-JAN-20","ATM Withdraws",999,"Other",2,"CHE",17942,6427940,358.26
104,"01-JAN-20","ATM Withdraws",999,"Other",3,"CHE",5132,1833507,357.27
105,"01-JAN-20","ATM Withdraws",999,"Other",4,"CHE",8423,2490161,295.64
106,"01-JAN-20","ATM Withdraws",999,"Other",5,"CHE",5492,1571073,286.07
107,"01-JAN-20","ATM Withdraws",999,"Other",6,"CHE",6517,1910166,293.11
108,"01-JAN-20","ATM Withdraws",999,"Other",99,"CHE",137,55925,408.21
109,"01-JAN-21","ATM Deposits",999,"Other",0,"CHE",692,1202889,1738.28
110,"01-JAN-21","ATM Deposits",999,"Other",1,"CHE",2716,3802436,1400.01
111,"01-JAN-21","ATM Deposits",999,"Other",2,"CHE",1669,2602746,1559.46
112,"01-JAN-21","ATM Deposits",999,"Other",3,"CHE",474,746560,1575.02
113,"01-JAN-21","ATM Deposits",999,"Other",4,"CHE",517,894426,1730.03
114,"01-JAN-21","ATM Deposits",999,"Other",5,"CHE",396,561603,1418.19
115,"01-JAN-21","ATM Deposits",999,"Other",6,"CHE",507,994269,1961.08
116,"01-JAN-21","ATM Deposits",999,"Other",99,"CHE",35,47103,1345.8
117,"01-JAN-21","ATM Withdraws",999,"Other",0,"CHE",6747,2336065,346.24
118,"01-JAN-21","ATM Withdraws",999,"Other",1,"CHE",13785,5204315,377.53
119,"01-JAN-21","ATM Withdraws",999,"Other",2,"CHE",8376,3909234,466.72
120,"01-JAN-21","ATM Withdraws",999,"Other",3,"CHE",2657,1258707,473.73
121,"01-JAN-21","ATM Withdraws",999,"Other",4,"CHE",3515,1359121,386.66
122,"01-JAN-21","ATM Withdraws",999,"Other",5,"CHE",2333,773562,331.57
123,"01-JAN-21","ATM Withdraws",999,"Other",6,"CHE",2837,1079929,380.66
124,"01-JAN-21","ATM Withdraws",999,"Other",99,"CHE",51,34926,684.82
125,"01-JUL-20","ATM Deposits",999,"Other",0,"CHE",2567,4092407,1594.24
126,"01-JUL-20","ATM Deposits",999,"Other",1,"CHE",12724,17186884,1350.75
127,"01-JUL-20","ATM Deposits",999,"Other",2,"CHE",6258,10632649,1699.05
128,"01-JUL-20","ATM Deposits",999,"Other",3,"CHE",1911,2968212,1553.22
129,"01-JUL-20","ATM Deposits",999,"Other",4,"CHE",1965,3424318,1742.66
130,"01-JUL-20","ATM Deposits",999,"Other",5,"CHE",1266,1807885,1428.03
131,"01-JUL-20","ATM Deposits",999,"Other",6,"CHE",1881,2823977,1501.32
132,"01-JUL-20","ATM Deposits",999,"Other",99,"CHE",110,169912,1544.65
133,"01-JUL-20","ATM Withdraws",999,"Other",0,"CHE",38294,17512305,457.31
134,"01-JUL-20","ATM Withdraws",999,"Other",1,"CHE",113266,58348739,515.15
135,"01-JUL-20","ATM Withdraws",999,"Other",2,"CHE",65355,41666495,637.54
136,"01-JUL-20","ATM Withdraws",999,"Other",3,"CHE",20269,11956079,589.87
