"X","FINALPROCESSINGDATE","TYPE","KANTON","GROSSREGION","COUNTRY","NTRX","ISSUINGBASEAMOUNT","ATV"
0,"01-APR-20","ATM Deposits","99",99,"CHE",139,178821,1286.48
1,"01-APR-20","ATM Deposits","AG",3,"CHE",1287,1859874,1445.12
2,"01-APR-20","ATM Deposits","AR",5,"CHE",93,182250,1959.68
3,"01-APR-20","ATM Deposits","BE",2,"CHE",1610,2349714,1459.45
4,"01-APR-20","ATM Deposits","BL",3,"CHE",376,529702,1408.78
5,"01-APR-20","ATM Deposits","BS",3,"CHE",444,469977,1058.51
6,"01-APR-20","ATM Deposits","FR",2,"CHE",402,439372,1092.97
7,"01-APR-20","ATM Deposits","GE",1,"CHE",1397,1877359,1343.85
8,"01-APR-20","ATM Deposits","GR",5,"CHE",196,209161,1067.15
9,"01-APR-20","ATM Deposits","JU",2,"CHE",98,165607,1689.87
10,"01-APR-20","ATM Deposits","LU",6,"CHE",1176,1379565,1173.1
11,"01-APR-20","ATM Deposits","NE",2,"CHE",447,564017,1261.78
12,"01-APR-20","ATM Deposits","NW",6,"CHE",50,65625,1312.5
13,"01-APR-20","ATM Deposits","OW",6,"CHE",31,53109,1713.19
14,"01-APR-20","ATM Deposits","SG",5,"CHE",903,1312039,1452.98
15,"01-APR-20","ATM Deposits","SH",5,"CHE",181,227202,1255.26
16,"01-APR-20","ATM Deposits","SO",2,"CHE",456,705647,1547.47
17,"01-APR-20","ATM Deposits","SZ",6,"CHE",554,699272,1262.22
18,"01-APR-20","ATM Deposits","TG",5,"CHE",629,789328,1254.89
19,"01-APR-20","ATM Deposits","TI",7,"CHE",818,1100709,1345.61
20,"01-APR-20","ATM Deposits","UR",6,"CHE",26,23779,914.58
21,"01-APR-20","ATM Deposits","VD",1,"CHE",2302,3587620,1558.48
22,"01-APR-20","ATM Deposits","VS",1,"CHE",709,901358,1271.31
23,"01-APR-20","ATM Deposits","ZG",6,"CHE",158,302947,1917.39
24,"01-APR-20","ATM Deposits","ZH",4,"CHE",2604,4086302,1569.24
25,"01-APR-20","ATM Withdraws","99",99,"CHE",338,332173,982.76
26,"01-APR-20","ATM Withdraws","AG",3,"CHE",11710,7673294,655.28
27,"01-APR-20","ATM Withdraws","AI",5,"CHE",156,68356,438.18
28,"01-APR-20","ATM Withdraws","AR",5,"CHE",1093,756764,692.37
29,"01-APR-20","ATM Withdraws","BE",2,"CHE",14418,9006857,624.7
30,"01-APR-20","ATM Withdraws","BL",3,"CHE",5736,3695182,644.21
31,"01-APR-20","ATM Withdraws","BS",3,"CHE",2581,1979074,766.79
32,"01-APR-20","ATM Withdraws","FR",2,"CHE",4731,3045785,643.79
33,"01-APR-20","ATM Withdraws","GE",1,"CHE",9498,10565585,1112.4
34,"01-APR-20","ATM Withdraws","GL",5,"CHE",361,151506,419.68
35,"01-APR-20","ATM Withdraws","GR",5,"CHE",1635,917110,560.92
36,"01-APR-20","ATM Withdraws","JU",2,"CHE",1305,823060,630.7
37,"01-APR-20","ATM Withdraws","LU",6,"CHE",10378,5782247,557.16
38,"01-APR-20","ATM Withdraws","NE",2,"CHE",3200,2322839,725.89
39,"01-APR-20","ATM Withdraws","NW",6,"CHE",580,292625,504.53
