"X","FINALPROCESSINGDATE","TYPE","KANTON","GROSSREGION","COUNTRY","NTRX","ISSUINGBASEAMOUNT","ATV"
0,"01-APR-19","ATM","99",99,"AUT",2044,412308,201.72
1,"01-APR-19","ATM","99",99,"CHE",407,276189,678.6
2,"01-APR-19","ATM","99",99,"DEU",6239,1206586,193.39
3,"01-APR-19","ATM","99",99,"FRA",3846,741283,192.74
4,"01-APR-19","ATM","99",99,"ITA",4083,922662,225.98
5,"01-APR-19","ATM","99",99,"LIE",565,190680,337.49
6,"01-APR-19","ATM","99",99,"WRD",14666,3656119,249.29
7,"01-APR-19","ATM","AG",3,"CHE",18135,7660622,422.42
8,"01-APR-19","ATM","AI",5,"CHE",153,57204,373.88
9,"01-APR-19","ATM","AR",5,"CHE",1281,527441,411.74
10,"01-APR-19","ATM","BE",2,"CHE",21952,7594249,345.95
11,"01-APR-19","ATM","BL",3,"CHE",5128,2029756,395.82
12,"01-APR-19","ATM","BS",3,"CHE",8152,2848537,349.43
13,"01-APR-19","ATM","FR",2,"CHE",7485,2757500,368.4
14,"01-APR-19","ATM","GE",1,"CHE",12398,5858083,472.5
15,"01-APR-19","ATM","GL",5,"CHE",668,234731,351.39
16,"01-APR-19","ATM","GR",5,"CHE",3504,1230025,351.03
17,"01-APR-19","ATM","JU",2,"CHE",1350,600762,445.01
18,"01-APR-19","ATM","LU",6,"CHE",12157,4107777,337.89
19,"01-APR-19","ATM","NE",2,"CHE",4644,1931554,415.92
20,"01-APR-19","ATM","NW",6,"CHE",962,330809,343.88
21,"01-APR-19","ATM","OW",6,"CHE",717,247203,344.77
22,"01-APR-19","ATM","SG",5,"CHE",18249,6628203,363.21
23,"01-APR-19","ATM","SH",5,"CHE",1988,664223,334.12
24,"01-APR-19","ATM","SO",2,"CHE",6280,2312479,368.23
25,"01-APR-19","ATM","SZ",6,"CHE",2857,1075057,376.29
26,"01-APR-19","ATM","TG",5,"CHE",9993,3936994,393.98
27,"01-APR-19","ATM","TI",7,"CHE",11830,7909822,668.62
28,"01-APR-19","ATM","UR",6,"CHE",640,211886,331.07
29,"01-APR-19","ATM","VD",1,"CHE",19236,7902687,410.83
30,"01-APR-19","ATM","VS",1,"CHE",10365,4119283,397.42
31,"01-APR-19","ATM","ZG",6,"CHE",2921,1078648,369.27
32,"01-APR-19","ATM","ZH",4,"CHE",46178,19334103,418.69
33,"01-APR-19","POS","99",99,"AUT",18085,2006420,110.94
34,"01-APR-19","POS","99",99,"CHE",79820,3555387,44.54
35,"01-APR-19","POS","99",99,"DEU",76767,7136675,92.97
36,"01-APR-19","POS","99",99,"FRA",69698,5790030,83.07
37,"01-APR-19","POS","99",99,"ITA",21445,2134198,99.52
38,"01-APR-19","POS","99",99,"LIE",4440,282520,63.63
39,"01-APR-19","POS","99",99,"WRD",42607,2732384,64.13
40,"01-APR-19","POS","AG",3,"CHE",138462,7254008,52.39
41,"01-APR-19","POS","AI",5,"CHE",1733,145253,83.82
42,"01-APR-19","POS","AR",5,"CHE",5839,335771,57.5
43,"01-APR-19","POS","BE",2,"CHE",235156,10863718,46.2
44,"01-APR-19","POS","BL",3,"CHE",50330,2541780,50.5
45,"01-APR-19","POS","BS",3,"CHE",64353,2475183,38.46
46,"01-APR-19","POS","FR",2,"CHE",65567,3577631,54.56
47,"01-APR-19","POS","GE",1,"CHE",172814,7811802,45.2
48,"01-APR-19","POS","GL",5,"CHE",7106,388567,54.68
49,"01-APR-19","POS","GR",5,"CHE",47727,3193835,66.92
50,"01-APR-19","POS","JU",2,"CHE",11230,612314,54.52
51,"01-APR-19","POS","LU",6,"CHE",98967,5102494,51.56
52,"01-APR-19","POS","NE",2,"CHE",39845,1824096,45.78
53,"01-APR-19","POS","NW",6,"CHE",8769,528769,60.3
54,"01-APR-19","POS","OW",6,"CHE",5890,330472,56.11
55,"01-APR-19","POS","SG",5,"CHE",109442,5818212,53.16
56,"01-APR-19","POS","SH",5,"CHE",16044,715237,44.58
57,"01-APR-19","POS","SO",2,"CHE",47168,2332746,49.46
58,"01-APR-19","POS","SZ",6,"CHE",32323,1990252,61.57
59,"01-APR-19","POS","TG",5,"CHE",51382,2820436,54.89
60,"01-APR-19","POS","TI",7,"CHE",52264,3754856,71.84
61,"01-APR-19","POS","UR",6,"CHE",5239,328132,62.63
62,"01-APR-19","POS","VD",1,"CHE",254847,12426104,48.76
63,"01-APR-19","POS","VS",1,"CHE",82791,5315797,64.21
64,"01-APR-19","POS","ZG",6,"CHE",35658,1765156,49.5
65,"01-APR-19","POS","ZH",4,"CHE",555628,22067871,39.72
66,"01-APR-20","ATM","99",99,"AUT",148,46325,313.01
67,"01-APR-20","ATM","99",99,"CHE",303,280368,925.31
68,"01-APR-20","ATM","99",99,"DEU",729,348836,478.51
69,"01-APR-20","ATM","99",99,"FRA",1197,595058,497.12
70,"01-APR-20","ATM","99",99,"ITA",1038,352024,339.14
71,"01-APR-20","ATM","99",99,"LIE",639,337209,527.71
72,"01-APR-20","ATM","99",99,"WRD",2233,755150,338.18
73,"01-APR-20","ATM","AG",3,"CHE",14246,7883205,553.36
74,"01-APR-20","ATM","AI",5,"CHE",197,78175,396.83
75,"01-APR-20","ATM","AR",5,"CHE",1030,555474,539.3
76,"01-APR-20","ATM","BE",2,"CHE",18663,9160346,490.83
77,"01-APR-20","ATM","BL",3,"CHE",5691,3268303,574.29
78,"01-APR-20","ATM","BS",3,"CHE",4925,2946780,598.33
79,"01-APR-20","ATM","FR",2,"CHE",5749,3328681,579
80,"01-APR-20","ATM","GE",1,"CHE",9320,8193447,879.13
81,"01-APR-20","ATM","GL",5,"CHE",638,248709,389.83
