"DATE","TRANSACTIONS","AMOUNTCHF","NUMBERTRX"
2020-01-01,"ATM_WITHDRAWAL",30248110,102825
2020-01-02,"ATM_WITHDRAWAL",81299917,197341
2020-01-03,"ATM_WITHDRAWAL",155998482,330149
2020-01-04,"ATM_WITHDRAWAL",94119825,287296
2020-01-05,"ATM_WITHDRAWAL",40764935,135800
2020-01-06,"ATM_WITHDRAWAL",126428135,274237
2020-01-07,"ATM_WITHDRAWAL",129060562,283309
2020-01-08,"ATM_WITHDRAWAL",117736458,284085
2020-01-09,"ATM_WITHDRAWAL",113945215,292171
2020-01-10,"ATM_WITHDRAWAL",130477180,368590
2020-01-11,"ATM_WITHDRAWAL",95331991,349388
2020-01-12,"ATM_WITHDRAWAL",36081174,141641
2020-01-13,"ATM_WITHDRAWAL",90575809,253882
2020-01-14,"ATM_WITHDRAWAL",86861380,258819
2020-01-15,"ATM_WITHDRAWAL",89553698,273337
2020-01-16,"ATM_WITHDRAWAL",90504137,282329
2020-01-17,"ATM_WITHDRAWAL",105248301,349995
2020-01-18,"ATM_WITHDRAWAL",89575695,350224
2020-01-19,"ATM_WITHDRAWAL",32331179,133114
2020-01-20,"ATM_WITHDRAWAL",82525236,244962
2020-01-21,"ATM_WITHDRAWAL",82280266,251332
2020-01-22,"ATM_WITHDRAWAL",85103030,262985
2020-01-23,"ATM_WITHDRAWAL",94529852,277383
2020-01-24,"ATM_WITHDRAWAL",208662692,460025
2020-01-25,"ATM_WITHDRAWAL",145819747,416432
2020-01-26,"ATM_WITHDRAWAL",53984679,162329
2020-01-27,"ATM_WITHDRAWAL",178293363,318384
2020-01-28,"ATM_WITHDRAWAL",144591284,285872
2020-01-29,"ATM_WITHDRAWAL",143862995,305308
2020-01-30,"ATM_WITHDRAWAL",147025804,327532
2020-01-31,"ATM_WITHDRAWAL",175465191,419350
2020-02-01,"ATM_WITHDRAWAL",137434138,399562
2020-02-02,"ATM_WITHDRAWAL",46288612,145854
2020-02-03,"ATM_WITHDRAWAL",144629153,289856
2020-02-04,"ATM_WITHDRAWAL",133348135,285022
2020-02-05,"ATM_WITHDRAWAL",141599405,322412
2020-02-06,"ATM_WITHDRAWAL",134347900,327591
2020-02-07,"ATM_WITHDRAWAL",151946845,409375
2020-02-08,"ATM_WITHDRAWAL",107284144,378586
