datum,edate,year,month,day,DHU,ZT_D_IZ_II_BMF,ZT_K_IZ_II_BMF,ZT_IZ_II_BMF
"2005-01",16437,2005,1,1,88.481212,1611.2,870.1,2481.3
"2005-02",16468,2005,2,1,82.467921,1491,848.6,2339.6
"2005-03",16496,2005,3,1,89.562552,1763.5,1004.3,2767.8
"2005-04",16527,2005,4,1,89.909647,1758.2,942.1,2700.3
"2005-05",16557,2005,5,1,92.153552,1784.4,944.4,2728.8
"2005-06",16588,2005,6,1,87.694912,1754.7,931.3,2686
"2005-07",16618,2005,7,1,89.600778,1689.6,894,2583.6
"2005-08",16649,2005,8,1,86.269453,1722.7,962.1,2684.8
"2005-09",16680,2005,9,1,88.178937,1685.1,956.7,2641.8
"2005-10",16710,2005,10,1,93.73169,1819.1,1003.8,2822.9
"2005-11",16741,2005,11,1,97.197594,1881.5,1048,2929.5
"2005-12",16771,2005,12,1,110.12522,2398.6,1157.9,3556.5
"2006-01",16802,2006,1,1,90.596614,1784.5,981.4,2765.9
"2006-02",16833,2006,2,1,83.041385,1596,906.7,2502.7
"2006-03",16861,2006,3,1,89.567209,1835,1055.8,2890.8
"2006-04",16892,2006,4,1,91.351483,1864.4,939.4,2803.8
"2006-05",16922,2006,5,1,94.992584,1990.1,1071.4,3061.5
"2006-06",16953,2006,6,1,89.640364,1902.7,945,2847.7
"2006-07",16983,2006,7,1,92.338383,1957.8,938.4,2896.2
"2006-08",17014,2006,8,1,90.090816,1898.5,1011.5,2910
"2006-09",17045,2006,9,1,89.680091,1842.4,982.6,2825
"2006-10",17075,2006,10,1,94.434531,1951,1112.5,3063.5
"2006-11",17106,2006,11,1,99.469559,2006,1085.3,3091.3
"2006-12",17136,2006,12,1,114.77595,2440.2,1225.4,3665.6
"2007-01",17167,2007,1,1,93.432301,1910.1,1119.9,3030
"2007-02",17198,2007,2,1,85.207728,1688.9,1022.4,2711.3
"2007-03",17226,2007,3,1,93.870867,1995.9,1151.4,3147.3
"2007-04",17257,2007,4,1,94.965144,2095.6,1141.7,3237.3
"2007-05",17287,2007,5,1,97.718802,2006.5,1140.8,3147.3
"2007-06",17318,2007,6,1,91.646057,1913.7,1085.8,2999.5
"2007-07",17348,2007,7,1,95.981655,1973.8,1140.2,3114
"2007-08",17379,2007,8,1,93.209536,1938.4,1101.2,3039.6
"2007-09",17410,2007,9,1,93.812051,1913.7,1108.3,3022
"2007-10",17440,2007,10,1,99.019166,2171.5,1309.5,3481
"2007-11",17471,2007,11,1,103.38834,2203.2,1243.1,3446.3
"2007-12",17501,2007,12,1,119.25579,2707.5,1365.6,4073.1
"2008-01",17532,2008,1,1,96.628537,2034.1,1251.3,3285.4
"2008-02",17563,2008,2,1,89.85397,1984.9,1190.2,3175.1
"2008-03",17592,2008,3,1,97.090618,2180,1215,3395
"2008-04",17623,2008,4,1,96.213879,2181.2,1257.8,3439
"2008-05",17653,2008,5,1,105.47955,2374.7,1238.4,3613.1
"2008-06",17684,2008,6,1,97.110574,2230.3,1180.4,3410.7
"2008-07",17714,2008,7,1,101.44872,2169.5,1245.7,3415.2
"2008-08",17745,2008,8,1,96.260233,2054.5,1132.1,3186.6
"2008-09",17776,2008,9,1,101.4878,2200.3,1318.9,3519.2
"2008-10",17806,2008,10,1,102.38544,2252.7,1285.2,3537.9
"2008-11",17837,2008,11,1,103.92179,2170.7,1175.2,3345.9
"2008-12",17867,2008,12,1,122.75752,2947.3,1489.9,4437.2
"2009-01",17898,2009,1,1,96.870231,2114.1,1144.2,3258.3
"2009-02",17929,2009,2,1,89.888471,1930.6,1109.6,3040.2
"2009-03",17957,2009,3,1,98.051589,2233.8,1271.4,3505.2
"2009-04",17988,2009,4,1,96.739575,2302,1181.8,3483.8
"2009-05",18018,2009,5,1,104.31079,2321.2,1139.9,3461.1
"2009-06",18049,2009,6,1,96.711537,2292.3,1231.6,3523.9
"2009-07",18079,2009,7,1,100.87165,2274.6,1177.1,3451.7
"2009-08",18110,2009,8,1,95.416558,2138.3,1119.5,3257.8
"2009-09",18141,2009,9,1,98.089934,2186.3,1247.1,3433.4
"2009-10",18171,2009,10,1,104.48318,2417.5,1269.4,3686.9
"2009-11",18202,2009,11,1,104.45803,2362.8,1258.3,3621.1
"2009-12",18232,2009,12,1,126.74057,3099.6,1493.1,4592.7
"2010-01",18263,2010,1,1,98.211515,2174.9,1171.4,3346.3
"2010-02",18294,2010,2,1,91.831759,2074.8,1164.8,3239.6
"2010-03",18322,2010,3,1,101.46221,2502.1,1401,3903.1
"2010-04",18353,2010,4,1,99.676743,2389.3,1238.1,3627.4
"2010-05",18383,2010,5,1,105.3889,2430.3,1220,3650.3
"2010-06",18414,2010,6,1,98.059405,2355.1,1247.5,3602.6
"2010-07",18444,2010,7,1,103.3864,2396.8,1205.7,3602.5
"2010-08",18475,2010,8,1,96.388542,2293.5,1253.8,3547.3
"2010-09",18506,2010,9,1,100.21309,2304.6,1290.5,3595.1
