"datum","edate","year","month","day","DHU","ZT_D_IZ_II_BMF","ZT_K_IZ_II_BMF","ZT_IZ_II_BMF"
"2005-01",2005-01-01,2005,1,1,87.30546714,1611.2,870.1,2481.3
"2005-02",2005-02-01,2005,2,1,81.59837897,1491,848.6,2339.6
"2005-03",2005-03-01,2005,3,1,88.51874201,1763.5,1004.3,2767.8
"2005-04",2005-04-01,2005,4,1,88.88386599,1758.2,942.1,2700.3
"2005-05",2005-05-01,2005,5,1,91.06665572,1784.4,944.4,2728.8
"2005-06",2005-06-01,2005,6,1,86.61747373,1754.7,931.3,2686
"2005-07",2005-07-01,2005,7,1,88.36814048,1689.6,894,2583.6
"2005-08",2005-08-01,2005,8,1,85.0273644,1722.7,962.1,2684.8
"2005-09",2005-09-01,2005,9,1,86.35992031,1685.1,956.7,2641.8
"2005-10",2005-10-01,2005,10,1,92.37881153,1819.1,1003.8,2822.9
"2005-11",2005-11-01,2005,11,1,95.67788005,1881.5,1048,2929.5
"2005-12",2005-12-01,2005,12,1,108.61578734,2398.6,1157.9,3556.5
"2006-01",2006-01-01,2006,1,1,89.36012734,1784.5,981.4,2765.9
"2006-02",2006-02-01,2006,2,1,82.16579666,1596,906.7,2502.7
"2006-03",2006-03-01,2006,3,1,88.57047208,1835,1055.8,2890.8
"2006-04",2006-04-01,2006,4,1,90.27866097,1864.4,939.4,2803.8
"2006-05",2006-05-01,2006,5,1,93.89599493,1990.1,1071.4,3061.5
"2006-06",2006-06-01,2006,6,1,88.52991603,1902.7,945,2847.7
"2006-07",2006-07-01,2006,7,1,91.06999231,1957.8,938.4,2896.2
"2006-08",2006-08-01,2006,8,1,88.77330138,1898.5,1011.5,2910
"2006-09",2006-09-01,2006,9,1,87.86824728,1842.4,982.6,2825
"2006-10",2006-10-01,2006,10,1,93.05249542,1951,1112.5,3063.5
"2006-11",2006-11-01,2006,11,1,97.89181938,2006,1085.3,3091.3
"2006-12",2006-12-01,2006,12,1,113.27264806,2440.2,1225.4,3665.6
"2007-01",2007-01-01,2007,1,1,92.16482535,1910.1,1119.9,3030
"2007-02",2007-02-01,2007,2,1,84.30929793,1688.9,1022.4,2711.3
"2007-03",2007-03-01,2007,3,1,92.82516525,1995.9,1151.4,3147.3
"2007-04",2007-04-01,2007,4,1,93.8701138,2095.6,1141.7,3237.3
"2007-05",2007-05-01,2007,5,1,96.5131724,2006.5,1140.8,3147.3
"2007-06",2007-06-01,2007,6,1,90.57595909,1913.7,1085.8,2999.5
"2007-07",2007-07-01,2007,7,1,94.64388244,1973.8,1140.2,3114
"2007-08",2007-08-01,2007,8,1,91.86322502,1938.4,1101.2,3039.6
"2007-09",2007-09-01,2007,9,1,91.89237649,1913.7,1108.3,3022
"2007-10",2007-10-01,2007,10,1,97.57802803,2171.5,1309.5,3481
"2007-11",2007-11-01,2007,11,1,101.76706536,2203.2,1243.1,3446.3
"2007-12",2007-12-01,2007,12,1,117.72028281,2707.5,1365.6,4073.1
"2008-01",2008-01-01,2008,1,1,95.28004498,2034.1,1251.3,3285.4
"2008-02",2008-02-01,2008,2,1,88.96028532,1984.9,1190.2,3175.1
"2008-03",2008-03-01,2008,3,1,96.03891473,2180,1215,3395
"2008-04",2008-04-01,2008,4,1,95.07932573,2181.2,1257.8,3439
"2008-05",2008-05-01,2008,5,1,104.21046259,2374.7,1238.4,3613.1
"2008-06",2008-06-01,2008,6,1,95.97765468,2230.3,1180.4,3410.7
"2008-07",2008-07-01,2008,7,1,99.97200492,2169.5,1245.7,3415.2
"2008-08",2008-08-01,2008,8,1,94.88591069,2054.5,1132.1,3186.6
"2008-09",2008-09-01,2008,9,1,99.41917197,2200.3,1318.9,3519.2
"2008-10",2008-10-01,2008,10,1,100.8700035,2252.7,1285.2,3537.9
"2008-11",2008-11-01,2008,11,1,102.30945735,2170.7,1175.2,3345.9
"2008-12",2008-12-01,2008,12,1,121.16775218,2947.3,1489.9,4437.2
"2009-01",2009-01-01,2009,1,1,95.56684152,2114.1,1144.2,3258.3
"2009-02",2009-02-01,2009,2,1,88.94068708,1930.6,1109.6,3040.2
"2009-03",2009-03-01,2009,3,1,96.976811,2233.8,1271.4,3505.2
"2009-04",2009-04-01,2009,4,1,95.56980777,2302,1181.8,3483.8
"2009-05",2009-05-01,2009,5,1,103.11795104,2321.2,1139.9,3461.1
"2009-06",2009-06-01,2009,6,1,95.53745123,2292.3,1231.6,3523.9
"2009-07",2009-07-01,2009,7,1,99.44892556,2274.6,1177.1,3451.7
"2009-08",2009-08-01,2009,8,1,94.08016668,2138.3,1119.5,3257.8
"2009-09",2009-09-01,2009,9,1,96.07096383,2186.3,1247.1,3433.4
"2009-10",2009-10-01,2009,10,1,102.92937031,2417.5,1269.4,3686.9
"2009-11",2009-11-01,2009,11,1,102.86568622,2362.8,1258.3,3621.1
"2009-12",2009-12-01,2009,12,1,124.95626241,3099.6,1493.1,4592.7
"2010-01",2010-01-01,2010,1,1,96.87918642,2174.9,1171.4,3346.3
"2010-02",2010-02-01,2010,2,1,90.86348449,2074.8,1164.8,3239.6
"2010-03",2010-03-01,2010,3,1,100.38820267,2502.1,1401,3903.1
"2010-04",2010-04-01,2010,4,1,98.46011721,2389.3,1238.1,3627.4
"2010-05",2010-05-01,2010,5,1,104.16673417,2430.3,1220,3650.3
"2010-06",2010-06-01,2010,6,1,96.87689174,2355.1,1247.5,3602.6
"2010-07",2010-07-01,2010,7,1,101.9209512,2396.8,1205.7,3602.5
"2010-08",2010-08-01,2010,8,1,95.02014242,2293.5,1253.8,3547.3
"2010-09",2010-09-01,2010,9,1,98.12785928,2304.6,1290.5,3595.1
"2010-10",2010-10-01,2010,10,1,103.07970652,2423.9,1290.7,3714.6
"2010-11",2010-11-01,2010,11,1,105.17350809,2570.1,1399.3,3969.4
"2010-12",2010-12-01,2010,12,1,123.68070563,3276.3,1554.4,4830.7
"2011-01",2011-01-01,2011,1,1,95.87381481,2319,1226.3,3545.3
"2011-02",2011-02-01,2011,2,1,90.48224288,2171,1239,3410
"2011-03",2011-03-01,2011,3,1,100.06126062,2484.4,1396.3,3880.7
"2011-04",2011-04-01,2011,4,1,100.61453468,2585.7,1274.5,3860.2
"2011-05",2011-05-01,2011,5,1,102.47297001,2540.8,1339.1,3879.9
"2011-06",2011-06-01,2011,6,1,97.96919246,2426.2,1249,3675.2
"2011-07",2011-07-01,2011,7,1,101.24324478,2405.3,1225.5,3630.8
