"datum","indicator","value","edate","year","month","day"
"2002-01","DHU",85.5377755,2002-01-01,2002,1,1
"2002-02","DHU",81.06441886,2002-02-01,2002,2,1
"2002-03","DHU",86.61790436,2002-03-01,2002,3,1
"2002-04","DHU",85.43750944,2002-04-01,2002,4,1
"2002-05","DHU",90.19112842,2002-05-01,2002,5,1
"2002-06","DHU",81.20909872,2002-06-01,2002,6,1
"2002-07","DHU",84.43131134,2002-07-01,2002,7,1
"2002-08","DHU",80.97619813,2002-08-01,2002,8,1
"2002-09","DHU",84.9142545,2002-09-01,2002,9,1
"2002-10","DHU",88.88139008,2002-10-01,2002,10,1
"2002-11","DHU",93.328527,2002-11-01,2002,11,1
"2002-12","DHU",108.24103219,2002-12-01,2002,12,1
"2003-01","DHU",85.52783215,2003-01-01,2003,1,1
"2003-02","DHU",79.75163418,2003-02-01,2003,2,1
"2003-03","DHU",85.39013539,2003-03-01,2003,3,1
"2003-04","DHU",85.94265198,2003-04-01,2003,4,1
"2003-05","DHU",89.94857975,2003-05-01,2003,5,1
"2003-06","DHU",81.96367182,2003-06-01,2003,6,1
"2003-07","DHU",85.14946796,2003-07-01,2003,7,1
"2003-08","DHU",79.11643748,2003-08-01,2003,8,1
"2003-09","DHU",86.09023076,2003-09-01,2003,9,1
"2003-10","DHU",90.1531854,2003-10-01,2003,10,1
"2003-11","DHU",91.61513781,2003-11-01,2003,11,1
"2003-12","DHU",109.24660725,2003-12-01,2003,12,1
"2004-01","DHU",88.13755775,2004-01-01,2004,1,1
"2004-02","DHU",80.60644025,2004-02-01,2004,2,1
"2004-03","DHU",86.18478248,2004-03-01,2004,3,1
"2004-04","DHU",87.27377826,2004-04-01,2004,4,1
"2004-05","DHU",91.50058757,2004-05-01,2004,5,1
"2004-06","DHU",84.56859952,2004-06-01,2004,6,1
"2004-07","DHU",85.56203744,2004-07-01,2004,7,1
"2004-08","DHU",82.05360648,2004-08-01,2004,8,1
"2004-09","DHU",85.12191652,2004-09-01,2004,9,1
"2004-10","DHU",89.16591154,2004-10-01,2004,10,1
"2004-11","DHU",94.40662692,2004-11-01,2004,11,1
"2004-12","DHU",107.18582034,2004-12-01,2004,12,1
"2005-01","DHU",87.30546714,2005-01-01,2005,1,1
"2005-02","DHU",81.59837897,2005-02-01,2005,2,1
"2005-03","DHU",88.51874201,2005-03-01,2005,3,1
"2005-04","DHU",88.88386599,2005-04-01,2005,4,1
"2005-05","DHU",91.06665572,2005-05-01,2005,5,1
"2005-06","DHU",86.61747373,2005-06-01,2005,6,1
"2005-07","DHU",88.36814048,2005-07-01,2005,7,1
"2005-08","DHU",85.0273644,2005-08-01,2005,8,1
"2005-09","DHU",86.35992031,2005-09-01,2005,9,1
"2005-10","DHU",92.37881153,2005-10-01,2005,10,1
"2005-11","DHU",95.67788005,2005-11-01,2005,11,1
"2005-12","DHU",108.61578734,2005-12-01,2005,12,1
"2006-01","DHU",89.36012734,2006-01-01,2006,1,1
"2006-02","DHU",82.16579666,2006-02-01,2006,2,1
"2006-03","DHU",88.57047208,2006-03-01,2006,3,1
"2006-04","DHU",90.27866097,2006-04-01,2006,4,1
"2006-05","DHU",93.89599493,2006-05-01,2006,5,1
"2006-06","DHU",88.52991603,2006-06-01,2006,6,1
"2006-07","DHU",91.06999231,2006-07-01,2006,7,1
"2006-08","DHU",88.77330138,2006-08-01,2006,8,1
"2006-09","DHU",87.86824728,2006-09-01,2006,9,1
"2006-10","DHU",93.05249542,2006-10-01,2006,10,1
"2006-11","DHU",97.89181938,2006-11-01,2006,11,1
"2006-12","DHU",113.27264806,2006-12-01,2006,12,1
"2007-01","DHU",92.16482535,2007-01-01,2007,1,1
"2007-02","DHU",84.30929793,2007-02-01,2007,2,1
"2007-03","DHU",92.82516525,2007-03-01,2007,3,1
"2007-04","DHU",93.8701138,2007-04-01,2007,4,1
"2007-05","DHU",96.5131724,2007-05-01,2007,5,1
"2007-06","DHU",90.57595909,2007-06-01,2007,6,1
"2007-07","DHU",94.64388244,2007-07-01,2007,7,1
"2007-08","DHU",91.86322502,2007-08-01,2007,8,1
"2007-09","DHU",91.89237649,2007-09-01,2007,9,1
"2007-10","DHU",97.57802803,2007-10-01,2007,10,1
"2007-11","DHU",101.76706536,2007-11-01,2007,11,1
"2007-12","DHU",117.72028281,2007-12-01,2007,12,1
"2008-01","DHU",95.28004498,2008-01-01,2008,1,1
"2008-02","DHU",88.96028532,2008-02-01,2008,2,1
"2008-03","DHU",96.03891473,2008-03-01,2008,3,1
"2008-04","DHU",95.07932573,2008-04-01,2008,4,1
"2008-05","DHU",104.21046259,2008-05-01,2008,5,1
"2008-06","DHU",95.97765468,2008-06-01,2008,6,1
"2008-07","DHU",99.97200492,2008-07-01,2008,7,1
"2008-08","DHU",94.88591069,2008-08-01,2008,8,1
"2008-09","DHU",99.41917197,2008-09-01,2008,9,1
"2008-10","DHU",100.8700035,2008-10-01,2008,10,1
"2008-11","DHU",102.30945735,2008-11-01,2008,11,1
"2008-12","DHU",121.16775218,2008-12-01,2008,12,1
"2009-01","DHU",95.56684152,2009-01-01,2009,1,1
"2009-02","DHU",88.94068708,2009-02-01,2009,2,1
"2009-03","DHU",96.976811,2009-03-01,2009,3,1
"2009-04","DHU",95.56980777,2009-04-01,2009,4,1
"2009-05","DHU",103.11795104,2009-05-01,2009,5,1
"2009-06","DHU",95.53745123,2009-06-01,2009,6,1
"2009-07","DHU",99.44892556,2009-07-01,2009,7,1
"2009-08","DHU",94.08016668,2009-08-01,2009,8,1
"2009-09","DHU",96.07096383,2009-09-01,2009,9,1
"2009-10","DHU",102.92937031,2009-10-01,2009,10,1
"2009-11","DHU",102.86568622,2009-11-01,2009,11,1
"2009-12","DHU",124.95626241,2009-12-01,2009,12,1
"2010-01","DHU",96.87918642,2010-01-01,2010,1,1
"2010-02","DHU",90.86348449,2010-02-01,2010,2,1
"2010-03","DHU",100.38820267,2010-03-01,2010,3,1
"2010-04","DHU",98.46011721,2010-04-01,2010,4,1
"2010-05","DHU",104.16673417,2010-05-01,2010,5,1
"2010-06","DHU",96.87689174,2010-06-01,2010,6,1
"2010-07","DHU",101.9209512,2010-07-01,2010,7,1
"2010-08","DHU",95.02014242,2010-08-01,2010,8,1
"2010-09","DHU",98.12785928,2010-09-01,2010,9,1
"2010-10","DHU",103.07970652,2010-10-01,2010,10,1
"2010-11","DHU",105.17350809,2010-11-01,2010,11,1
"2010-12","DHU",123.68070563,2010-12-01,2010,12,1
"2011-01","DHU",95.87381481,2011-01-01,2011,1,1
"2011-02","DHU",90.48224288,2011-02-01,2011,2,1
"2011-03","DHU",100.06126062,2011-03-01,2011,3,1
"2011-04","DHU",100.61453468,2011-04-01,2011,4,1
"2011-05","DHU",102.47297001,2011-05-01,2011,5,1
"2011-06","DHU",97.96919246,2011-06-01,2011,6,1
"2011-07","DHU",101.24324478,2011-07-01,2011,7,1
"2011-08","DHU",91.41511426,2011-08-01,2011,8,1
"2011-09","DHU",94.64346148,2011-09-01,2011,9,1
"2011-10","DHU",100.64587268,2011-10-01,2011,10,1
"2011-11","DHU",102.66501193,2011-11-01,2011,11,1
"2011-12","DHU",119.58347084,2011-12-01,2011,12,1
"2012-01","DHU",96.3632722,2012-01-01,2012,1,1
"2012-02","DHU",88.56862236,2012-02-01,2012,2,1
"2012-03","DHU",101.93450941,2012-03-01,2012,3,1
"2012-04","DHU",97.53203096,2012-04-01,2012,4,1
"2012-05","DHU",105.30509689,2012-05-01,2012,5,1
"2012-06","DHU",99.24175248,2012-06-01,2012,6,1
"2012-07","DHU",101.99834906,2012-07-01,2012,7,1
"2012-08","DHU",94.90330704,2012-08-01,2012,8,1
"2012-09","DHU",97.28811966,2012-09-01,2012,9,1
"2012-10","DHU",102.20580126,2012-10-01,2012,10,1
"2012-11","DHU",104.46435623,2012-11-01,2012,11,1
"2012-12","DHU",122.7928193,2012-12-01,2012,12,1
"2013-01","DHU",96.62251109,2013-01-01,2013,1,1
"2013-02","DHU",89.35619139,2013-02-01,2013,2,1
"2013-03","DHU",99.90147522,2013-03-01,2013,3,1
"2013-04","DHU",98.67180803,2013-04-01,2013,4,1
"2013-05","DHU",105.18441496,2013-05-01,2013,5,1
"2013-06","DHU",100.00190984,2013-06-01,2013,6,1
"2013-07","DHU",101.89176826,2013-07-01,2013,7,1
"2013-08","DHU",96.47010554,2013-08-01,2013,8,1
