"datum","transaction","instrument","holder","location","measure","value","edate","year","month","day"
"2005-01","ZT","K","IZ","II","TT",4626.7,2005-01-01,2005,1,1
"2005-01","ZT","K","IZ","II","BMF",870.1,2005-01-01,2005,1,1
"2005-01","ZT","K","IZ","II","BTF",188.06060475,2005-01-01,2005,1,1
"2005-01","ZT","K","IZ","IA","TT",3058.3,2005-01-01,2005,1,1
"2005-01","ZT","K","IZ","IA","BMF",637.7,2005-01-01,2005,1,1
"2005-01","ZT","K","IZ","IA","BTF",208.51453422,2005-01-01,2005,1,1
"2005-01","ZT","K","AZ","II","TT",1762.3,2005-01-01,2005,1,1
"2005-01","ZT","K","AZ","II","BMF",386.7,2005-01-01,2005,1,1
"2005-01","ZT","K","AZ","II","BTF",219.42915508,2005-01-01,2005,1,1
"2005-01","ZT","D","IZ","II","TT",19358.3,2005-01-01,2005,1,1
"2005-01","ZT","D","IZ","II","BMF",1611.2,2005-01-01,2005,1,1
"2005-01","ZT","D","IZ","II","BTF",83.23044895,2005-01-01,2005,1,1
"2005-01","ZT","D","IZ","IA","TT",146.5,2005-01-01,2005,1,1
"2005-01","ZT","D","IZ","IA","BMF",22.7,2005-01-01,2005,1,1
"2005-01","ZT","D","IZ","IA","BTF",154.94880546,2005-01-01,2005,1,1
"2005-01","ZT","D","AZ","II","TT",248.8,2005-01-01,2005,1,1
"2005-01","ZT","D","AZ","II","BMF",31.9,2005-01-01,2005,1,1
"2005-01","ZT","D","AZ","II","BTF",128.21543408,2005-01-01,2005,1,1
"2005-01","ZT","EG","IZ","II","TT",NA,2005-01-01,2005,1,1
"2005-01","ZT","EG","IZ","II","BMF",NA,2005-01-01,2005,1,1
"2005-01","ZT","EG","IZ","II","BTF",NA,2005-01-01,2005,1,1
"2005-01","ZT","EG","IZ","IA","TT",NA,2005-01-01,2005,1,1
"2005-01","ZT","EG","IZ","IA","BMF",NA,2005-01-01,2005,1,1
"2005-01","ZT","EG","IZ","IA","BTF",NA,2005-01-01,2005,1,1
"2005-01","PGT","K","IZ","II","TT",NA,2005-01-01,2005,1,1
"2005-01","PGT","K","IZ","II","BMF",NA,2005-01-01,2005,1,1
"2005-01","PGT","K","IZ","II","BTF",NA,2005-01-01,2005,1,1
"2005-01","PGT","K","IZ","IA","TT",NA,2005-01-01,2005,1,1
"2005-01","PGT","K","IZ","IA","BMF",NA,2005-01-01,2005,1,1
"2005-01","PGT","K","IZ","IA","BTF",NA,2005-01-01,2005,1,1
"2005-01","PGT","K","AZ","II","TT",NA,2005-01-01,2005,1,1
"2005-01","PGT","K","AZ","II","BMF",NA,2005-01-01,2005,1,1
"2005-01","PGT","K","AZ","II","BTF",NA,2005-01-01,2005,1,1
"2005-01","PGT","D","IZ","II","TT",NA,2005-01-01,2005,1,1
"2005-01","PGT","D","IZ","II","BMF",NA,2005-01-01,2005,1,1
"2005-01","PGT","D","IZ","II","BTF",NA,2005-01-01,2005,1,1
"2005-01","PGT","D","IZ","IA","TT",NA,2005-01-01,2005,1,1
"2005-01","PGT","D","IZ","IA","BMF",NA,2005-01-01,2005,1,1
"2005-01","PGT","D","IZ","IA","BTF",NA,2005-01-01,2005,1,1
"2005-01","PGT","D","AZ","II","TT",NA,2005-01-01,2005,1,1
"2005-01","PGT","D","AZ","II","BMF",NA,2005-01-01,2005,1,1
"2005-01","PGT","D","AZ","II","BTF",NA,2005-01-01,2005,1,1
"2005-01","PGT","EG","IZ","II","TT",NA,2005-01-01,2005,1,1
"2005-01","PGT","EG","IZ","II","BMF",NA,2005-01-01,2005,1,1
"2005-01","PGT","EG","IZ","II","BTF",NA,2005-01-01,2005,1,1
"2005-01","PGT","EG","IZ","IA","TT",NA,2005-01-01,2005,1,1
"2005-01","PGT","EG","IZ","IA","BMF",NA,2005-01-01,2005,1,1
"2005-01","PGT","EG","IZ","IA","BTF",NA,2005-01-01,2005,1,1
"2005-01","PGKL","K","IZ","II","TT",NA,2005-01-01,2005,1,1
"2005-01","PGKL","K","IZ","II","BMF",NA,2005-01-01,2005,1,1
"2005-01","PGKL","K","IZ","II","BTF",NA,2005-01-01,2005,1,1
"2005-01","PGKL","K","AZ","II","TT",NA,2005-01-01,2005,1,1
"2005-01","PGKL","K","AZ","II","BMF",NA,2005-01-01,2005,1,1
"2005-01","PGKL","K","AZ","II","BTF",NA,2005-01-01,2005,1,1
"2005-01","PGKL","D","IZ","II","TT",NA,2005-01-01,2005,1,1
"2005-01","PGKL","D","IZ","II","BMF",NA,2005-01-01,2005,1,1
"2005-01","PGKL","D","IZ","II","BTF",NA,2005-01-01,2005,1,1
"2005-01","PGKL","D","AZ","II","TT",NA,2005-01-01,2005,1,1
"2005-01","PGKL","D","AZ","II","BMF",NA,2005-01-01,2005,1,1
"2005-01","PGKL","D","AZ","II","BTF",NA,2005-01-01,2005,1,1
"2005-01","PGKL","EG","IZ","II","TT",NA,2005-01-01,2005,1,1
"2005-01","PGKL","EG","IZ","II","BMF",NA,2005-01-01,2005,1,1
"2005-01","PGKL","EG","IZ","II","BTF",NA,2005-01-01,2005,1,1
"2005-01","DG","K","IZ","II","TT",NA,2005-01-01,2005,1,1
"2005-01","DG","K","IZ","II","BMF",NA,2005-01-01,2005,1,1
"2005-01","DG","K","IZ","II","BTF",NA,2005-01-01,2005,1,1
"2005-01","DG","K","IZ","IA","TT",NA,2005-01-01,2005,1,1
"2005-01","DG","K","IZ","IA","BMF",NA,2005-01-01,2005,1,1
"2005-01","DG","K","IZ","IA","BTF",NA,2005-01-01,2005,1,1
"2005-01","DG","K","AZ","II","TT",NA,2005-01-01,2005,1,1
"2005-01","DG","K","AZ","II","BMF",NA,2005-01-01,2005,1,1
"2005-01","DG","K","AZ","II","BTF",NA,2005-01-01,2005,1,1
"2005-01","DG","D","IZ","II","TT",NA,2005-01-01,2005,1,1
"2005-01","DG","D","IZ","II","BMF",NA,2005-01-01,2005,1,1
"2005-01","DG","D","IZ","II","BTF",NA,2005-01-01,2005,1,1
"2005-01","DG","D","IZ","IA","TT",NA,2005-01-01,2005,1,1
"2005-01","DG","D","IZ","IA","BMF",NA,2005-01-01,2005,1,1
"2005-01","DG","D","IZ","IA","BTF",NA,2005-01-01,2005,1,1
"2005-01","DG","D","AZ","II","TT",NA,2005-01-01,2005,1,1
"2005-01","DG","D","AZ","II","BMF",NA,2005-01-01,2005,1,1
"2005-01","DG","D","AZ","II","BTF",NA,2005-01-01,2005,1,1
"2005-01","DG","EG","IZ","II","TT",NA,2005-01-01,2005,1,1
"2005-01","DG","EG","IZ","II","BMF",NA,2005-01-01,2005,1,1
"2005-01","DG","EG","IZ","II","BTF",NA,2005-01-01,2005,1,1
"2005-01","DG","EG","IZ","IA","TT",NA,2005-01-01,2005,1,1
"2005-01","DG","EG","IZ","IA","BMF",NA,2005-01-01,2005,1,1
"2005-01","DG","EG","IZ","IA","BTF",NA,2005-01-01,2005,1,1
"2005-01","BT","K","IZ","II","TT",190.1,2005-01-01,2005,1,1
"2005-01","BT","K","IZ","II","BMF",67,2005-01-01,2005,1,1
"2005-01","BT","K","IZ","II","BTF",352.44608101,2005-01-01,2005,1,1
"2005-01","BT","K","IZ","IA","TT",159.2,2005-01-01,2005,1,1
"2005-01","BT","K","IZ","IA","BMF",56.6,2005-01-01,2005,1,1
"2005-01","BT","K","IZ","IA","BTF",355.52763819,2005-01-01,2005,1,1
"2005-01","BT","K","AZ","II","TT",193.6,2005-01-01,2005,1,1
"2005-01","BT","K","AZ","II","BMF",47,2005-01-01,2005,1,1
"2005-01","BT","K","AZ","II","BTF",242.76859504,2005-01-01,2005,1,1
"2005-01","BT","D","IZ","II","TT",7561.4,2005-01-01,2005,1,1
"2005-01","BT","D","IZ","II","BMF",1695.5,2005-01-01,2005,1,1
