date2,losses,cumlosses
16mar2020,59.909897,59.909897
17mar2020,-7.483963,52.425934
18mar2020,-17.913918,34.512016
19mar2020,-21.58123,12.930786
20mar2020,-25.357475,-12.426689
21mar2020,-77.700203,-90.126892
22mar2020,-16.916939,-107.04383
23mar2020,-40.864681,-147.90851
24mar2020,-26.963589,-174.8721
25mar2020,-30.051636,-204.92374
26mar2020,-31.867119,-236.79086
27mar2020,-40.851616,-277.64246
28mar2020,-62.580811,-340.22327
29mar2020,-16.300114,-356.52341
30mar2020,-33.707687,-390.23108
31mar2020,-16.807098,-407.03818
01apr2020,-18.789093,-425.82727
02apr2020,-20.154427,-445.98169
03apr2020,-24.903313,-470.88501
04apr2020,-54.44265,-525.32764
05apr2020,-13.74402,-539.07166
