date2,losses,cumlosses
16mar2020,77.821503,77.821503
17mar2020,-40.861664,36.959839
18mar2020,-53.974915,-17.015076
19mar2020,-62.269318,-79.284393
20mar2020,-83.978058,-163.26245
21mar2020,-140.81076,-304.07321
22mar2020,-35.547672,-339.62088
23mar2020,-83.964874,-423.58575
24mar2020,-64.929932,-488.51569
25mar2020,-20.002121,-508.51782
26mar2020,-54.489059,-563.0069
27mar2020,-90.46698,-653.47388
28mar2020,-89.670288,-743.14417
29mar2020,-24.389107,-767.53326
30mar2020,-22.229248,-789.76251
31mar2020,-11.750565,-801.51306
01apr2020,-8.3452148,-809.85828
02apr2020,-26.337387,-836.19568
03apr2020,-59.738342,-895.93402
04apr2020,-98.73996,-994.67395
05apr2020,-27.408081,-1022.082
